iknow00001	CES(消費性電子展)：自動駕駛系統(Autonomous System)
iknow03092	半導體產業：全球採購經理人指數：全球製造活動：COVID-19
iknow03093	呼吸器(ventilator)：COVID-19：汽車產業：醫療耗材：連接器(connector)
iknow03094	冠狀病毒：COVID-19：世界轉變
iknow03095	專利統計：智慧財產權趨勢
iknow03096	COVID-19：呼吸器：美國：動態呼吸器儲備及分配(Dynamic Ventilator Reserve)
iknow03097	COVID-19：機器人：社交機器人(social robot)：檢測機器人：病毒採檢
iknow03098	台灣：工業生產
iknow03099	三星顯示器(Samsung Display)：智慧型手機(Smartphone)：OLED：LG顯示器(LG Display)
iknow03100	相機模組(Camera Sensor)：三星(Samsung)
iknow03101	智慧型手機(Smartphone)：5G：COVID-19：新型冠狀病毒(the Novel Coronavirus)
iknow03102	運輸無人機(Delivery Drone)：機器人(Robot)：遠距醫療(Telemedicine)：異步護理(Asynchronous Care)：COVID-19
iknow03103	人工智慧(AI)：AI晶片(AI Chip)：半導體產業(Semiconductor Industry)：智慧型手機
iknow03104	中國：每座5G SA基站價格：華為：諾基亞：基地台
iknow03105	自動駕駛：人工智慧(AI)：運輸市場：汽車製造商：AI演算法模型
iknow03106	重啟美國經濟：全球經濟：COVID-19
iknow03107	電動車(Electric Vehicle)：挪威(Norway)：歐洲(Europe)
iknow03108	COVID-19：IT支出
iknow03109	華為(Huawei)：採購策略：產品路線圖：車用晶片：意法半導體(STMicro)：美中貿易戰：美國出口管制
iknow03110	5G：6G：深度學習(Deep Learning)：認知無線電(Cognitive Radio)：人工智慧(AI)
iknow03111	美國商務部：高端科技產品：出口管制：半導體：通信：高端電腦
iknow03112	專利撰寫技巧：專利範圍：延續申請：專利權人：專利訴訟：Gamevice：任天堂(Nintendo)：Switch：掌上型遊樂器
iknow03113	三星顯示器(Samsung Display)：智慧型手機(Smartphone)：OLED：LG顯示器(LG Display)：京東方(BOE)：柔性OLED(Flexible OLED)
iknow03114	半導體市場(Semiconductor Market)：COVID-19：新冠狀病毒(The Novel Coronavirus)：記憶體(Memory)
iknow03115	智慧型手機(Smartphone)：COVID-19：新冠狀病毒(The Novel Coronavirus)
iknow03116	智慧型手機(Smartphone)：高通(Qualcomm)：應用處理器(Application Processor)：華為(Huawei)
iknow03117	COVID-19：南韓紓困措施：Korea New Deal：疫後經濟
iknow03118	三星電子：研發支出
iknow03119	雙螢幕電腦(Dual-Screen Computer)：微軟(Microsoft)：蘋果(Apple Inc)
iknow03120	台灣：製造業：研發投資
iknow03121	全球矽晶圓出貨總面積：半導體
iknow03122	南韓：LG Uplus：5G SA：商業服務測試：5G基站
iknow03123	量子運算(Quantum Computing)：量子位元(Qubits)：IBM：亞馬遜(Amazon.com)：谷歌(Google)：微軟(Microsoft)：雲端運算(Cloud Computing)
iknow03124	微型顯示器(Microdisplay)：Micro OLED顯示器：汽車產業(Automotive Industry)：穿戴式裝置(Wearable Device)
iknow03125	中國：網路安全審查辦法：關鍵信息基礎設施：網路安全：美中貿易戰：科技戰
iknow03126	太陽光電：太陽能：綠電：再生能源：台積電
iknow03127	供應鏈重啟：Supply Chain：首席供應鏈官(CSCO)：COVID-19：記分卡管理
iknow03128	海思：半導體銷售：晶圓代工：台積電：IC
iknow03129	COVID-19：越南：社交距離：經濟政策：數位轉型：供應鏈重組：撤離中國
iknow03130	南亞科：10奈米：試產線：資本支出
iknow03131	筆電市場：COVID-19：遠端工作：遠端教學
iknow03132	聯發科技：旗艦級 5G 系統單晶片：SoC：天璣 1000+
iknow03133	人工智慧(AI)：人腦機器介面(brain-machine interface)：AI大腦晶片(AI Brain Chip)
iknow03134	川普政府：台積電：Intel：三星電子：晶片製造廠：半導體
iknow03135	半導體元件：功率暨化合物：晶圓廠設備支出：COVID-19
iknow03136	光電元件：感測器：致動器：離散元件：O-S-D：半導體市場：COVID-19
iknow03137	汽車智慧玻璃(Automotive Intelligent Glass)：智慧玻璃(Smart Glass：Intelligent Glass)：自動駕駛
iknow03138	穿戴式裝置(Wearable device)：智慧手錶(Smart Watch)：谷歌(Google)：蘋果(Apple, Inc.)：COVID-19
iknow03139	智慧家庭平台(Smart Home Platform)：智慧家庭(Smart Home)：Wink：付費訂閱模式
iknow03140	華為：智慧手機：車企：5G汽車生態圈：自駕車：車載服務：車載通信設備
iknow03141	虛擬實境(VR)：頭戴式裝置(Headset Device)：臉書(Facebook)
iknow03142	蘋果(Apple Inc.)：真無線耳機(True Wireless Headphone)：AirPod：越南(Vietnam)：中國(China)：COVID-19
iknow03143	英特爾(Intel)：新創公司(Startup)：人工智慧(AI)：半導體(Semiconductor)：英特爾資本(Intel Capital)
iknow03144	國家安全：日本：外資投資限制：關鍵技術
iknow03145	液化天然氣：再生能源： 南韓第九個基本能源政策：綠色新政：核能發電
iknow03146	蘋果(Apple)：蘋果供應鏈大遷移：iPhone：印度：越南：東南亞：美中貿易戰
iknow03147	美國總統川普：華為：電信設備：企業使用禁令延長：貿易戰：COVID-19：5G
iknow03148	Comcast：Tivo：TV DVR：電視機上盒(Set-Top Box)：專利侵權：專利授權：專利組合：授權金談判
iknow03149	USPTO：COVID-19：COVID-19先導方案(COVID-19 Pilot Program)：優先審查(prioritized examination)：專利申請
iknow03150	台積電(TSMC)：赴美設新廠：5奈米晶圓廠：半導體
iknow03151	南韓：RD投資：區塊鏈：研發計畫：公共創新服務
iknow03152	國碩：飛利浦：專利侵權訴訟：智慧財產法院：DVD光碟專利
iknow03153	太空衛星：新創：破產保護：SpaceX：Oneweb：低軌衛星
iknow03154	自動駕駛車(Autonomous Car)：英特爾(Intel)：無人駕駛計程車(Robotaxi)
iknow03155	美國(USA)：中國(China)：半導體(Semiconductor)：貿易戰(Trade War)：華為(Huawei)：台積電(TSMC)
iknow03156	美國商務部：BIS：華為：海思：半導體：晶片：實體名單
iknow03157	特斯拉(Tesla)：上海廠：供應鏈本土化比重：電動車：Model 3
iknow03158	索尼(Sony)：CMOS影像感測器(CMOS Image Sensor)：人工智慧(AI)：Chiplet
iknow03159	國家集成電路基金：中芯國際(SMIC)：晶片製造：貿易戰
iknow03160	虛擬實境(VR)：頭戴式裝置(Headset Device)：蘋果(Apple)：擴增實境(AR)：NextVR
iknow03161	機器人：專利申請：智慧財產權：AI
iknow03162	Micro LED：可導電黏著劑：conductive adhesive：半導體材料
iknow03163	車用半導體：車用AP：DRAM：三星電子：車用IC
iknow03164	南韓：感染控制：COVID-19：醫療器械
iknow03165	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：人工智慧(AI)：蘋果(Apple Inc.)：HomePod：智慧家庭
iknow03166	電動車(Electric Vehicle)：P2P汽車充電(Peer-to-Peer Car Charging：P2C2)：充電站：P2P模式供電：機器人充電臂：共享電源：AI演算法
iknow03167	激勵措施：企業回流：COVID-19：貿易戰：補貼：稅收優惠：日本：南韓：美國
iknow03168	台灣：製造業
iknow03169	蘋果(Apple)：擴增實境(AR)：蘋果眼鏡(Apple Glasses)：擴增實境眼鏡(AR Glasses)
iknow03170	三星：SK海力士：華為：台積電：半導體：晶圓代工：半導體禁令：貿易戰：5G手機
iknow03171	台灣：外銷訂單
iknow03172	總統蔡英文：就職演說：六大核心戰略產業：產業發展策略
iknow03173	Targus：平板電腦(tablet computer)：保護殼(protective cover)：可旋轉(rotatable)：專利侵權訴訟
iknow03174	人工智慧(AI)：COVID-19：增強分析(Augmented Analytics)：區塊鏈(Blockchain)：智慧空間(Smart Spaces)：邊緣運算(Empowered Edge)：創新
iknow03175	兩會2020：十四五：五年規劃：新基建：中國製造2025
iknow03176	專利權力：智慧財產權：零和賽局
iknow03177	賽靈思(Xilinx)：航太規格：FPGA：抗輻射性：超高傳輸：智慧運算：XQRKU060晶片
iknow03178	IC市場(IC Market)：IC產量(IC Production)：中國(China)：IC自主率
iknow03179	矽谷(Silicon Valley)：科技產業(Technology Industry)：COVID-19：新型冠狀病毒(the Novel Coronavirus)：在家工作(Work From Home)：遠距上班
iknow03180	南韓：關鍵技術：研發補助：半導體
iknow03181	晶圓代工(Foundry)：三星(Samsung)：台積電(TSMC)：5奈米：EUV：半導體
iknow03182	電子產業(Electronics Industry)：新型冠狀病毒(the Novel Cornavirus)：COVID-19：電子價值鏈(Electronics Value Chain)
iknow03183	Patentcloud平台：專利大數據分析：專利訴訟
iknow03184	SK Telecomm：三星：ID Quantinque：量子加密技術：QKD：量子金鑰： 量子亂數產生器(QRNG)：量子晶片
iknow03185	人工智慧(AI)：COVID-19：勞動力：社會結構
iknow03186	台灣：工業生產
iknow03187	美國商務部(BIS)：實體清單：華為禁令：貿易戰：AI
iknow03188	量子運算(Quantum Computing)：量子位元(Qubits)：比特幣(Bitcoin)：區塊鏈(Blockchain)：加密技術
iknow03189	歐盟越南自由貿易協定(EVFTA)：雙邊貿易：國際經濟一體化(economic integration)：越南：汽車製造中心
iknow03190	歐盟越南自由貿易協定：EVFTA：關稅：經濟貿易
iknow03191	賽靈思(Xilinx, Inc.)：VU23P FPGA：網路連結：資料儲存：Virtex UltraScale+：AI
iknow03192	香港：國安法：香港半導體貿易中心：晶片出口
iknow03193	勝麗國際(Kingpak)：美光(Micron)：三星(Samsung)：海力士(SK Hynix)：記憶體模組：memory module
iknow03194	擴增實境(AR)：頭戴式裝置(Headset Device)：高通(Qualcomm)：虛擬實境(VR)：混合實境(XR)：5G
iknow03195	Space X：太空商機：太空發展趨勢：民營太空公司：民營商業火箭
iknow03196	中美貿易戰：5G：英國：電信產業：華為禁令：電信設備採購
iknow03197	撤出中國：企業回流：製造業回流：貿易戰：製造業區域化布局
iknow03198	5G：智慧型手機(Smartphone)：COVID-19：新冠病毒(The Novel Coronavirus)
iknow03199	SpaceX：Starlink：低地軌道衛星：高速全球網路：5G：6G：衛星寬頻網路：軍事用途
iknow03200	三星(Samsung)：CMOS影像感測器(CMOS Image Sensor：CIS)：索尼(Sony)：晶圓代工：台積電(TSMC)
iknow03201	台積電(TSMC)：投資：竹南封測廠：半導體：3D封測
iknow03202	台積電(TSMC)：汽車矽智財生態系統：自動化駕駛
iknow03203	穿戴式裝置(Wearable Device)：智慧手錶(Smartwatch)：蘋果(Apple Inc.)：耳戴式裝置(Earwear)：無線耳機(Hearable)：腕戴式裝置(Wristband)
iknow03204	透明大腦：人腦地圖：腦科學
iknow03205	電動車(Electric Vehicle)：特斯拉(Tesla)：歐洲(Europe)：中國(China)
iknow03206	LexisNexis：PatentSight：維護年費(maintenance fee)：三星(Samsung)：國家專利局 Tony
iknow03207	PC市場：筆記型電腦：5G手機：智慧手機：COVID-19：居家工作
iknow03208	校正介面：SAPA GNSS(全球導航衛星系統)：即時導航：安全位置增強：無線通訊
iknow03209	區塊鏈(Blockchain)：身份識別系統(identification system)：去中心身份化(Decentralized Identity：DID)：ID2020
iknow03210	著作權：區塊鏈：侵權證據
iknow03211	電動車(Electric Vehicle)：鋰離子電池(Lithium-ion Battery)：電池技術(Battery Technology)：固態鋰金屬電池(Solid State Lithium-Metal Battery)：鋰金屬
iknow03212	COVID-19：太陽能產業：晶圓：太陽能電池：太陽能板：價格競爭
iknow03213	Lasertec：英特爾：EUV技術：晶圓測試機
iknow03214	中美貿易戰：商業間諜：竊取科技：智慧財產
iknow03215	半導體產業(Semiconductor Industry)：美中貿易戰：半導體國家策略：半導體產業競爭力：投資補貼：台積電
iknow03216	全球半導體製造設備出貨：半導體設備
iknow03217	Intellectual Discovery：IP Bridge：主權專利基金(sovereign patent fund, SPF)：專利聚合(patent aggregation)：專利組合：NPE
iknow03218	SpaceX：Starlink：衛星網路：遮陽板：火箭回收
iknow03219	日韓貿易戰：出口限制：WTO：半導體材料限制
iknow03220	人工智慧(AI)：半導體(Semiconductor)：機器學習(Machine Learning)：深度學習(Deep Learning)：神經網路(Neural Network)
iknow03221	半導體產業(Semiconductor Industry)：COVID-19：聯發科
iknow03222	半導體產業：科技競爭：台灣：美國
iknow03223	台積電：股東常會：赴美設廠：5G：HPC：海思訂單
iknow03224	光碟機：操控價格：反托拉斯：上訴案：廣明：財產移交：損害賠償
iknow03225	全球高科技研發中心：領航企業研發深耕計畫
iknow03226	穿戴式裝置(Wearable Device)：智慧手錶(Smartwatch)：蘋果(Apple Inc.)：智慧醫療
iknow03227	桌上型電腦：筆記型電腦：平板電腦：手機：COVID-19：台灣
iknow03228	智慧型手機(Smartphone)：COVID-19：蘋果5G iPhone
iknow03229	5G：Wi-Fi 6：下一代無線技術(Next Generation Wireless Technology)
iknow03230	5G智慧工廠：AGV：AOI：台達電：遠傳：微軟
iknow03231	中國大陸：海南自由貿易港建設總體方案：香港：海南自貿區
iknow03232	台積電：股東常會：赴美設廠：5G：HPC：海思訂單
iknow03233	光學鏡頭：專利戰：蘋果：大立光(Largan)：新廣角鏡頭：iPhone 12
iknow03234	遠距醫療(Telemedicine)：COVID-19：非接觸病患監護技術(Non-contact patient monitoring technology)：人工智慧(AI)：精準醫療
iknow03235	倉儲機器人(Robotics)：亞馬遜(Amazon.com)：自動駕駛車(Autonomous Drriving)：物流：Zoox
iknow03236	SpaceX：獵鷹9號火箭(Falcon 9)：Planet：SkySat星群：Starlink：火箭共乘：衛星觀測地球：近地軌道
iknow03237	台灣：製造業
iknow03238	全球晶圓廠設備支出：記憶體：先進邏輯製程：晶圓代工廠：半導體
iknow03239	越南：外國直接投資：台商撤離中國：貿易戰：COVID-19
iknow03240	台灣：數位轉型：產業人才
iknow03241	美國國會：《CHIPS Act》：美國半導體產業：貿易戰：晶圓代工：台積電
iknow03242	英國：全民基本收入(universal basic income)：經濟政策
iknow03243	DARPA：Blackjack計畫：光纖網狀網路(optically meshed network)：衛星發射：酬載任務：軍事衛星：車用衛星
iknow03244	半導體產業(Semiconductor Industry)：車用半導體(Automotive Semiconductor)：三星(Samsung)：現代汽車
iknow03245	南韓(South Korea)：中國(China)：OLED：顯示器(Display)：專利佈局
iknow03246	美國國防部(DoD)：NASA：美國太空發展署(SDA)：雷射光通訊衛星：衛星網路：近地軌道(LEO)：光學通訊終端機
iknow03247	電動車(Electric Vehicle)：特斯拉(Tesla)：Nikola：燃料電池(Fuel-Cell)：新創公司
iknow03248	韓國(South Korea)：中國(China)：5G：電信設備(Telecom Equipment)：專利佈局：華為：基地台：美中貿易戰
iknow03249	CMOS影像感測器(CMOS Image Sensor：CIS)：半導體產業(Semiconductor Industry)
iknow03250	Rocket Lab：美國國家偵查局(NRO)：Electron火箭：小型衛星：火箭酬載發射
iknow03251	人工智慧(AI)：半導體(Semiconductor)：AI邊緣晶片(AI Edge Chipset)：邊緣AI晶片(Edge AI Chip)：AI推理晶片(AI Inference Chip)
iknow03252	日本：太空科技：小型火箭(compact rocket)：MOMO-5火箭：導航感測器：火箭發射：導航感測器
iknow03253	南韓：氫燃料汽車：綠色新政
iknow03254	韓國：城市空中交通：飛行車：無人載具
iknow03255	Xilinx：影音直播串流：即時伺服器
iknow03256	下一代技術標準：5G：華為禁令：實體清單：中國標準2035：出口管理條例：科技政策
iknow03257	索尼(Sony)：遊戲機(Game Console)：雲端遊戲(Cloud Gaming)：PS5：線上遊戲(Online Gaming)
iknow03258	德國政府：COVID-19：疫苗競賽：疫苗開發：戰略物資收購
iknow03259	COVID-19：新冠病毒疫苗：美國政府：曲速計畫 (Warp Speed)：新藥開發
iknow03260	三星：未來技術發展
iknow03261	亞洲直接電纜聯盟(ADC)：NEC：海底電纜：數據傳輸：PLCN海底數據電纜
iknow03262	金管會：金融科技發展路徑圖：金融資安
iknow03263	專利訴訟：智慧財產法院：家登(Gudeng Precision)：英特格(Entegris)：光罩盒(Reticle carrier)：台積電(TSMC)
iknow03264	太空垃圾清除：日本：脈衝式雷射機器手臂衛星：衛星碎片：SKY Perfect JSAT
iknow03265	比亞迪(BYD)：比亞迪半導體：IGBT：半導體開關
iknow03266	國家機器人：政府投資計畫：工業機器人：IFR
iknow03267	SK Materials：氟化氫：光阻劑：半導體關鍵材料：半導體產業：三星電子
iknow03268	台灣：外銷訂單
iknow03269	自動駕駛車(Autonomous Car)：無人駕駛車(Self-driving Car)：BMW：賓士(Mercedes-Benz)：戴姆勒(Daimler)：COVID-19
iknow03270	數位平台：數位服務税(digital service tax)：歐盟：美國：公平稅
iknow03271	數位科技：央行數位貨幣(CBDC)：電子貨幣
iknow03272	機器人(Robot)：高通(Qualcomm)：無人機(Drone)：人工智慧(AI)：5G：RB5
iknow03273	擴增實境(AR)：頭戴式裝置(Headset Device)：蘋果(Apple Inc.)：虛擬實境(VR)：穿戴式裝置
iknow03274	顯示器(Display)：OLED：液晶顯示器(LCD)：高階顯示器：8K LCD
iknow03275	COVID-19：美中科技戰：半導體景氣：中國：台積電：華為
iknow03276	DARPA：衛星載具(satellite bus)：光學通訊終端機(optical communications terminal)：衛星網路：軍事衛星：Blackjack計畫：太空新創公司
iknow03277	Mac：蘋果(Apple)：ARM架構(ARM architecture)：WWDC 2020：個人電腦(PC)
iknow03278	蘋果(Apple)：5G晶片(5G Chip)：高通(Qualcomm)：5奈米製程：半導體產業
iknow03279	JOLED：三星電子：專利侵權訴訟：OLED：中大型面板
iknow03280	三星電子：AI研發戰略：Sebastian Seung：AI人才：三星研究部
iknow03281	半導體產業(Semiconductor Industry)：功率半導體(Power Semiconductor)：汽車產業(Automotive Industry)：車用半導體(Automotive  Semiconductor)：COVID-19
iknow03282	疫情後經濟：韓國：關鍵行業：企業轉型：COVID-19
iknow03283	Mini-LED：蘋果(Apple Inc.)：LCD顯示器：OLED
iknow03284	已裝機晶圓產能(installed capacity)：半導體：台積電
iknow03285	全球供應鏈(Supply Chain)：COVID-19：美中貿易戰：中國(China)
iknow03286	零售商店(Retail Store)：微軟(Microsoft)：蘋果(Apple, Inc.)：亞馬遜(Amazon.com)：COVID-19：虛擬商店
iknow03287	蘋果(Apple, Inc.)：人工智慧(AI)
iknow03288	5G基頻晶片：手機基頻處理器：高通：聯發科：貿易戰：中國手機業者
iknow03289	商標：台灣：商標申請分析：產業發展
iknow03290	智慧手錶(Smartwatch)：蘋果(Apple Inc.)：Apple Watch
iknow03291	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：人工智慧(AI)：Sonos：蘋果(Apple, Inc.)：亞馬遜：智慧家居
iknow03292	人工智慧(AI)：半導體(Semiconductor)：美國(USA)：晶片技術
iknow03293	太空：量子(quantum)：第五種物質狀態(fifth state of matter)：玻色–愛因斯坦凝態(BEC)：國際太空站(ISS)：重力波：量子力學
iknow03294	外銷訂單：海外生產：企業回流：高科技產業：東協：撤離中國
iknow03295	港版國安法：關稅優惠：美國制裁措施：香港
iknow03296	臺灣：精準健康：產業發展藍圖：產業策略諮議委員會議
iknow03297	5G：AI：全球供應鏈：半導體產業生態鏈
iknow03298	Xilinx：Virtex UltraScale+ VU57P FPGA：高速資料傳輸：高頻寬記憶體：高速運算
iknow03299	加拿大太空總署(Canadian Space Agency)：Canadarm：登月計畫(lunar Gateway)：深空門戶(Deep Space Gateway)：機械手臂：NASA：MDA
iknow03300	SEMI FlexTech：大學前瞻技術：軟性混合電子(FHE)：美國軍方調查實驗室(ARL)：軟性機器人系統(soft robotic system)：軟性感測器(flexible sensor)：微型顯示器(microdisplay)：氮化鎵(GaN)：µLED
iknow03301	亞馬遜網路服務公司(AWS)：雲端服務：太空產業：衛星通訊網路
iknow03302	城市綠化：氣候行動：微循環技術：空氣污染：海水淡化：水管理：再生水
iknow03303	飛行導航：超音波圖像導引：微機器人：AI應用投入量刑：飛行動物機器人：液晶彈性體：光驅動微馬達
iknow03304	疾病預測：放射治療：脊髓損傷：軀幹支持訓練器：智慧醫院：生酮飲食：基因治療運動鍛煉：新型冠狀病毒：脊髓損傷修復
iknow03305	超薄膜：發光聚合物：二維材料：石墨烯：奈米結構：液滴發電機
iknow03306	量子電腦：光學運算：二維材料：神經網路運算：光子電路：光學晶體：量子態退化
iknow03307	鋰硫電池：鉀離子電池：反太陽能電池：熱輻射電池：二氧化碳轉化成燃料：奈米結構：能源轉型
iknow03308	3GPP：5G標準：R16：R15：5G商用：AIoT
iknow03309	Rocket Lab：火箭發射：Electron火箭：立方體衛星(CubeSats)：遙測衛星
iknow03310	半導體產業(Semiconductor Industry)：台積電(TSMC)：三星(Samsung)：先進製程(Advanced Process)：3奈米：4奈米：晶圓代工
iknow03311	格羅方德(GLOBALFOUNDRIES)：12LP+：FinFET：AI邊緣：14奈米
iknow03312	特斯拉(Tesla)：電動垂直起降(eVTOL)：電動車(Electric Vehicle)
iknow03313	智慧手錶(Smartwatch)：蘋果(Apple Inc.)：高通(Qualcomm)：Snapdragon Wear 4100晶片組
iknow03314	智慧眼鏡(Smart Glasses)：谷歌(Google)：擴增實境(AR)：North
iknow03315	Mac：蘋果(Apple)：ARM架構(ARM architecture)：垂直整合(Vertical Integration)：封閉平台(Closed Platform)：反壟斷：反托拉斯調查
iknow03316	Rocket Lab：NASA：低軌道衛星：Photon太空載具：月球軌道：CAPSTONE：登月太空船
iknow03317	電動自行車：台灣
iknow03318	碳化矽(SiC)：氮化鎵(GaN)：功率半導體：SiC MOSFET：SiC JFET：半導體材料
iknow03319	數位相機(Digital Camera)：日本(Japan)：奧林巴斯(Olympus)
iknow03320	韓國電信：衛星通信網路：KT SAT：5G：太空
iknow03321	5G：行動通訊(Mobile Telecom)：智慧型手機(Smartphone)：蘋果(Apple, Inc.)
iknow03322	中國大陸：半導體企業：科創板：IPO：國家大基金：中芯國際：寒武紀
iknow03323	台積電：再生能源：減碳排放：風能：離岸風場：沃旭能源
iknow03324	英國：OneWeb：衛星寬頻：衛星網路：太空低軌道
iknow03325	Elon Musk：隧道挖掘：城市塞車：Boring Company：Hyperloop：Loop：潛盾機
iknow03326	三星SAIT：石墨烯：半導體材料：非晶質氮化硼 (amorphous boron nitride )：a-BN
iknow03327	特斯拉(Tesla)：Level 5自動駕駛能力：完全自主行駛：超級工廠
iknow03328	著作權：區塊鏈
iknow03329	韓國：半導體產業：晶圓設計：系統半導體
iknow03330	日本電氣(NEC Corp.)：日本海洋研究開發機構(JAMSTEC)：塑膠微粒(microplastics)：海洋污染：影像識別(image recognition)：AI：深度學習
iknow03331	專利池(Patent Pool)：標準必要專利(Standard Essential Patenta：SEPs)：公平：合理暨非歧視性授權承諾(FRAND)：標準制定組織(Standard-Setting Organizations, SSO)：專利授權策略：Avanci
iknow03332	智慧型手機(Smartphone)：高通(Qualcomm)：應用處理器(Application Processor)：5G：聯發科
iknow03333	擴增實境(AR)：頭戴式裝置(Headset Device)：蘋果(Apple, Inc.)： AR眼鏡：鴻海代工
iknow03334	蘋果(Apple)：折疊式手機(Foldable Phone)：智慧型手機(Smartphone)
iknow03335	蘋果(Apple, Inc.)：平板電腦(Tablet Device)：iPad：個人電腦(PC)：COVID-19
iknow03336	CMOS影像感測器(CMOS Image Sensor：CIS：半導體產業(Semiconductor Industry)：多鏡頭模組：相機模組：智慧型手機(Smartphone)
iknow03337	COVID疫情：台灣：雷射列印市場：列印設備
iknow03338	中國半導體發展：半導體自主：集成電路大基金
iknow03339	量子運算(Quantum Computing)：量子位元(Qubits)：人造原子(Artificial Atoms)：量子處理器：鑽石空缺(Diamond Defect)：小晶片：麻省理工學院(MIT)
iknow03340	德國聯邦專利法院：首爾半導體：'983專利無效：EP1697983：LED：億光：光鋐科技
iknow03341	川普：《香港自治法案》：香港優惠貿易待遇：《港版國安法》：敏感技術
iknow03342	矽谷(Silicon Valley)：新創公司(Startup)：全球化(Globalize)：創新創業
iknow03343	南韓：數位和綠色經濟發展：新興產業：南韓新政
iknow03344	台積電(TSMC)：季營收
iknow03345	全球半導體行業併購：半導體併購案：COVID-19：ARM
iknow03346	伺服器
iknow03347	《歐美隱私護盾》：Privacy Shield：個人數據轉移：網路數據傳輸：數據保護法規(GDPR)：個人數據共享
iknow03348	國家發展計畫：核心戰略：科技政策
iknow03349	人工智慧(AI)：半導體(Semiconductor)：AI晶片(AI Chip)：英特爾：英偉達：Graphcore：AI處理器
iknow03350	日本：台積電：晶片製造廠：半導體供應鏈重組
iknow03351	谷歌(Google)：平板電腦(Tablet Device)：雙觸控螢幕裝置(Dual-touchcreen Device)：Palkia：Chromebook
iknow03352	電動車(Electric Vehicle)：特斯拉(Tesla)
iknow03353	顯示器(Display)：折疊式OLED(Foldable OLED)：彩色濾光片(Color Filter)：偏光片(Polarizer)：UBI Research
iknow03354	COVID-19：PC出貨量：遠端工作
iknow03355	EUV：ASML：台積電：三星電子：晶圓代工：晶片製造：5奈米：半導體
iknow03356	Graphcore：邊緣AI：IPU：AI晶片：AI加速器：智慧處理器：GC200
iknow03357	MicroLED顯示器(MicroLED Display)：電視(TV)：智慧手錶(Smart Watch)：顯示器(Display)
iknow03358	台灣：外銷訂單
iknow03359	特斯拉(Tesla)：電動車(Electric Vehicle)：汽車產業(Auto Industry)：汽車軟體化：軟體(Software)：商業模式
iknow03360	EV GROUP：無塵室設施興建：NILPhotonics：異質整合：半導體
iknow03361	SEMI：晶片製造設備支出：半導體製造設備
iknow03362	美國商務部：實體清單：貿易制裁：美中貿易戰
iknow03363	電視機(TV Set)：美國(USA)：新冠狀病毒(the Novel Coronavirus)：COVID-19：消費性電子(Consumer Electronics)
iknow03364	三星電子：免費轉讓：專利共享：中小企業：COVID-19
iknow03365	COVID-19：新常態：數位化轉型：智慧財產權：專利佈局
iknow03366	台灣：工業生產
iknow03367	行政院：紓困3.0：特別預算：COVID-19
iknow03368	阿拉伯聯合大公國(UAE)：火星任務：太空探索：Amal號探測器：H-IIA火箭：三菱重工：日本
iknow03369	LG Display(LGD)：OLED：面板：智慧手機：中小尺寸面板
iknow03370	半導體產業(Semiconductor Industry)：台積電(TSMC)：英特爾(Intel)：先進製程(Advanced Process)：外包戰略：晶圓代工
iknow03371	矽谷(Silicon Valley)：投資印度：臉書(Facebook)：谷歌(Google)：亞馬遜(Amazon.com)：蘋果(Apple Inc.)：美中貿易戰：數位經濟
iknow03372	軟銀(Softbank)：安謀(ARM Holdings)：EDA軟體(Electronic Design Automation Software)：晶片：半導體
iknow03373	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：人工智慧(AI)：亞馬遜(Amazon.com)：Alexa：深度神經網路(Deep Neural Networks：DNN)
iknow03374	三星顯示器(Samsung Display)：量子點顯示器：Quantum Dot：4K Display：65吋：QNED：量子點奈米發光二極管
iknow03375	軌道前哨基地 (Orbital Outpost)：美國國防部DIU：Sierra Nevada Corporation (SNC)：Nanoracks：Arkisys：自動化太空站
iknow03376	射頻前端(Radio Frequency Front End：RFFE)：高通(Qualcomm)：5G：整合數據機與RF
iknow03377	新型冠狀病毒(the Novel Coronavirus)：智慧家庭(Smart Home)：智慧家電：COVID-19
iknow03378	數位貨幣(digital currency)：央行數位貨幣：CBDC：區塊鏈：日本：COVID-19
iknow03379	歐盟：敏感技術出口：華為：5G網路建設
iknow03380	5G：智慧工廠
iknow03381	SEMI：全球半導體封裝材料市場
iknow03382	專利統計：專利申請
iknow03383	智慧工具機：umati標準
iknow03384	智慧局：智慧財產權趨勢：專利與商標申請：專利統計
iknow03385	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：人工智慧(AI)：電視機(TV Set)：智慧電視(Smart TV)
iknow03386	無人工廠：智慧製造
iknow03387	電信營運商：5G多接取邊緣運算(5G MEC)：5G未來論壇(5G Future Forum)：5G匯流服務：物聯網(IoT)：5G標準
iknow03388	COVID-19：特斯拉(Tesla)：CureVac：mRNA疫苗：製藥：生物列印機：便攜式：生物材料：生物器官
iknow03389	MPEG LA：AVC專利組合：專利授權金：H.264：標準必要專利(SEPs)
iknow03390	高通(Qualcomm)：華為(Huawei)：專利授權：專利授權金：華為禁令：貿易戰：行動手機晶片
iknow03391	COVID-19：台灣：經濟影響：進出口
