PG11009-0073	志願服務
PF11007-2815	部落觀光：相互凝視：永續觀光：原住民：指標建構
PB11007-5088	電路合成：交錯耦合：雙模共振：濾波器：頻率響應：非共振節點：散射參數：步階阻抗諧振腔：傳輸零點：三角結構
PB11007-5089	定位：深度學習
PB11007-4834	尤拉齊次定理：切換式李亞普諾夫函數：泰勒級數模糊法：逐點控制：取樣控制：雙曲型偏微分方程系統
PB11007-4835	次臨界擺幅：導通電流：釹摻雜的鐵酸铋：鐵電材料：薄膜電晶體
PC11007-2614	急性呼吸窘迫症：細胞週期依賴型激素4和6：嗜中性白血球：palbociclib：乾癬：ribociclib
PB11007-5102	時程網圖：時程管理：時程製作與審查準則：網圖審查：自動化系統
PF11007-2835	全通路零售：數位廣告：行銷漏斗：資源配置：行銷量化模型
PC11007-2665	輔助與另類療法：共享決策：決策輔助系統：護理為主導照護：利益與風險：糖尿病
PF11007-2839	人工智慧：公眾溝通：科學家：風險認知：新聞媒體：傳播專業人士：通訊傳播產業
PE11007-1266	龜井南冥：龜井昭陽：《周易》：儒學：江戶時代
PC11007-2724	腸道菌群：乳癌：奈米粒子：癌症治療：吞噬作用：血管通透性
PB11007-6574	超穎材料：克爾效應：非線光波導：多層光波導：多分支光波導
PD11007-0654	軟體動物：過敏原：側層流檢測法
PB11007-6344	燒燙傷面積：血液檢測值：決策樹分析：逐步多元迴歸分析
PC11007-3361	纖維化間質性肺病：特發性肺纖維化：肺微生物叢基因體：肺代謝物：16s核醣體核糖核酸定序：高解析度電腦斷層掃描定量
PC11007-3416	內分泌破壞的化學物質：重金屬：非酒精性脂肪肝：毒素有關的脂肪肝疾病 (toxicant-associated fatty liver disease)：病歷對照世代研究：重複測量
PG11008-0017	工藝產業資源現況：工藝產業發展趨勢：工藝產業政策
PG11007-0182	爐心營運系統：填換燃料設計：爐心設計驗證
PG11009-0083	新加坡：馬來西亞：砂拉越：客家產業：族裔經濟：新族群性
PG11010-0001	新興精神活性物質：代謝物：微生物：毒品：卡西酮
PG11010-0003	毒品原植物：去氧核醣核酸鑑定：植物dna鑑識
PG11009-0092	客家會館：客家博物館：客家意象
PG11011-0064	詢問：偵謊：司法心理學
PG11010-0006	族群主流化：族群政策：客家研究：轉型正義
PG11011-0021	政策溝通：選址：公眾參與
PD11011-0005	香花蝴蝶蘭：種原庫：育種：蝴蝶蘭產業
PA11011-0005	量化遺傳：共園實驗：遺傳力：性狀補償
PG11003-0029	思覺失調症：認知功能
PG11003-0119	再生能源：電池：儲能
PG11002-0280	海洋能：波浪發電：振盪水柱式：氣室：能源轉換效率：寬頻：波譜：共振
PG11003-0035	布里斯托糞便分類表中文化：信度：效度
PG11003-0038	醫院員工：運動行為：健康促進
PG11003-0044	細胞治療技術：審查：特管辦法：施行成效
PG11003-0353	空側：模擬：容量
PG11001-0056	室內空氣品質：微型感測器：物聯網：雲端平台：疫情監測
PG11001-0087	醫療人員：潛伏結核：結核病：篩檢
PW11003-0437	肺腺癌：愛寧達：抗藥性：微核醣核酸
PW11003-0514	全身性紅斑狼瘡(sle)：精神分裂症：自體抗體：正性及負性症狀量表
PW11003-0520	慢性腎臟病：腎臟病理：深度學習：電腦視覺：語意分割
PW11003-0521	缺血再灌流：粒線體：急性腎損傷
PW11003-0479	血糖：機器學習
PG11003-0059	快速設計與測試：晶片級異質整合：晶片級製程整合：設備國產化：ai平台驗測中心：智慧晶片應用
PW11003-0537	低白蛋白血症：營養風險
PW11003-0612	以中藥黃耆改善紫杉醇誘發大鼠坐骨神經損傷之修&#63846：探討
PG11002-0105	十二年國教課程綱要：國民中學：素養導向教學：教科書使用
PG11002-0111	十二年國民基本教育：教科書：數位學習資源
PW11003-0601	達文西機器手臂：機器手臂手術：頸部淋巴廓清術：頭頸癌
PW11003-0536	超氧岐化酶：穀胱甘&#32957;過氧化&#37238;：發炎反應：透析
PW11003-0659	二氫軟珊瑚素：dihydrosinularin：樹狀細胞：類風溼性關節炎：t 細胞：活化
PW11003-0685	婌煎骨：iqgap1：map4k
PG11001-0490	護理紀錄：科技接受模式：智能語音辨識系統
PW11003-0716	肺癌患者：免疫併化學治療：症狀困擾：因應策略：生活品質
PW11003-0717	鼻咽癌：化學治療：放射治療：eb病毒：定量聚合酶連鎖反應
PG11002-0094	關注醫療器材：醫療器材需求通報
PG11002-0096	戶外教育：活動理論：十二年國教：彈性課程
PB11004-0086	電動汽車：模型預測控制：t-s模糊：lpv系統：觀察員：線性矩陣不等式（lmi）：參數測量不精確：推進系統：ac / dc mg
PF11004-0079	國家秩序與安全：科技：數位：資訊：國際規範：權力分立：人權保障
PB11004-0087	細菌感染：細菌活性測試：眼內炎：隔膜前蜂窩性組織炎：眼窩蜂窩性組織炎：角膜潰瘍：葡萄膜炎：少量檢體
PB11004-0088	公開金鑰密碼學：後量子密碼學：量子電腦：密碼系統實作：破密攻擊
PG11005-0044	變壓器：局部放電：人工智慧
PG11005-0053	分類：數據分析：預測：負載特性：建模
PG11005-0102	穩定同位素探針：次世代定序：生物降解含氯有機物
PM11006-0076	數位轉型：消費數據推動精準研發：數據創新
PM11006-0079	環境保護：綠色技術：產業
PA11007-0056	缺失值：無母數多重插補法：經驗概似函數：假設檢定：適合度檢定：模型檢測
PF11007-0068	年金保險：年金保險監理：以風險為基礎之監理
PD11007-0003	烏魚子：食品鑑別：小分子指紋：非目標分析：高解析質譜：溯源資料庫
PF11007-0033	探索性策略導向：利用性策略導向：知識獲取：知識基礎：吸收效能：知識傳遞：雙歧能力：公司規模：公司年齡：探索性學習：利用性學習：專業化能力：雙歧假設：選擇：發展：過程：公司績效：訪談：縱斷面問卷調查
PF11007-0034	河流下切：水力下切侵蝕模式：土石流：新武呂溪：台灣造山帶
PG11003-0151	擴增實境：混合實境：微型發光二極體：微顯示器：微型封裝：異質整合
PG11003-0440	自行車友善環境規劃：環島自行車路網：多元化自行車路線：自行車旅遊
PB11007-0011	化學迴路氣化：交聯式流體化床：合成氣：載氧體：板式塔設計
PB11007-0012	前十字韌帶：籃球：跳躍落地
PB11007-0013	瞳孔計：瞳孔偵測：深度學習：臨床驗證
PB11007-0047	氧化鎵系列材：選擇性磊晶法：多重異質接面結構：多重異質接面結構 nano-fin：fin-hfet：高功率氧化鎵系列材料hfet
PB11007-0048	深層組織：植體：三維定位：體內定位：非線性天線
PF11007-0029	永續發展目標：氣候變遷：運動賽事風險管理：健康信念模式：運動觀光：馬拉松
PE11007-0055	神明會：臺灣舊慣：地方社會：屏東平原：文化資源
PE11007-0069	現代主義在中國：宋春舫：洪深：中國現代戲劇：未來主義：表現主義：《北京導報》：《北京新聞》：「交會區」
PC11007-0106	壓力：微生物相：抗生素複方：完全無菌：腸腦軸：腎上腺外糖皮質素：腸道上皮細胞：自主神經系統：迷走神經：腸道神經系統：腦幹：迷走神經背側核：背側巨細胞旁核/前腹外側延腦
PD11007-0035	聚乙烯：塑膠微粒：土壤微生物：土壤酵素：土壤理化性質
PF11007-0153	社群網站：網路名人：持續參與：自我揭露：人際吸引力：社群正義
PC11007-0053	心房顫動：房顫相關的血栓栓塞性中風：全基因體序列：關聯性研究
PF11007-0138	促進焦點：預防焦點：休閒雕琢：休閒投入
PB11007-0140	關鍵詞: 共享服務：電動二輪車：使用者經驗：機器學習：行為意向
PC11007-0071	肺癌：環狀核糖核酸：惡性肋膜積液：計畫性細胞死亡蛋白-1 (programmed cell death protein-1 [pd-1])：計畫性細胞死亡配體-1(programmed cell death-ligand 1 [pd-l1])：免疫療法：免疫檢查點
PC11007-0054	延長性機械通氣：慢性重症：呼吸器脫離：表現型：呼吸功：攝氧量：呼吸器脫離參數：氣管切開術：間接測熱：呼吸照護中心
PC11007-0055	acsl6：脂肪酸代謝：耐藥性：結直腸癌：腫瘤微環境
PB11007-0936	原子級一維過渡金屬硫屬化合物奈米線：凡德瓦構建塊：帕金森氏症：指標蛋白：感測陣列
PB11007-0935	表面改質：矽烷分子：自聚合反應：共矽烷化：空間侷限效應
PB11007-0937	盲影像浮水印：灰狼優化器：去雜訊卷積神經網路：四元數離散餘弦轉換
PC11007-0649	直接抗病毒藥物：ｃ型肝炎病毒：活性氧：脂肪體
PD11007-0145	紅檜：臺灣扁柏：精油：福建柏：臺灣檜木：美西側柏：揮發成分：木材
PF11007-0665	環境美學：生態取向：功能適合性：環境倫理學：美育：行動研究
PB11007-1121	資料包絡分析法：粗糙集理論：灰色系統理論：國防產業
PD11007-0144	渦度相關法：樹液流動：樹木蒸散量：濕冠層蒸發量：生態水文過程：森林動態：陸地生態系統動態的模型
PB11007-1105	即時防碰撞偵測：五軸工具機：包圍體碰撞偵測：三角網格碰撞偵測
PB11007-1106	快速傅立葉轉換：循環神經網路：隨機森林：xgboost分類理論
PF11007-0742	虛擬實驗室：光學：概念理解：科學態度：探究能力
PC11007-0784	真菌：生理活性：栓菌：粗毛擬革蓋菌：立枯絲核菌：生物轉化
PB11007-1460	金屬積層：模具：多孔性金屬：雷射束研拋：放電加工：表面修整：超聲振動輔助銑削
PB11007-1458	人工智慧：晶圓級先進封裝：有限單元法：熱循環測試：可靠度分析：機器學習：回歸模型：人工神經網路：隨機森林：支援向量回歸
PC11007-0860	神經降壓素受體(ntsr1)：抗體藥物複合物(adc)：非小细胞肺癌 (nsclc)：肝細胞癌(hcc)
PG11007-0061	神經網路：行為動機：大腦機制：飢餓：性慾：果蠅
PG11007-0084	超高壓輸電洞道：無線專網：物聯網
PB11007-1530	ht-pemfc：熱管控：燃料電池：熱管：溫度分布
PE11007-0364	現代舞：南雅人：文化學院舞蹈科：冷戰：現代性
PE11007-0365	莊子：弔詭：主體：觀心：圓教：攖寧
PB11007-1602	湧波：引導波：碎波型態：邊界層逆流：湧波反射：質點影像測速
PA11007-0560	颱風：內波：內潮：南海
PB11007-1236	收斂分析：梯度下降學習：附加節點噪聲：乘法節點噪聲
PB11007-1081	異位性皮膚炎：健康食品：海藻：石蓴：水萃物：硫酸多醣：腸道菌相：免疫調節
PB11007-1082	太陽能發電系統：部分遮蔭：全域最大功率追蹤：簡化型估測：alpha因子擾動觀察法
PE11007-0282	語言學習焦慮：特質與狀態：再測信度：外語教學：量表信度
PA11007-0564	量子位元元件：量子元件：量子積體電路：量子極限量測：約瑟芬結：約瑟芬參數放大器
PC11007-0751	胞外泌體：micrornas：炎性小體：gpr124：子宮內膜細胞：絨毛：胎盤：滋養細胞：免疫調節作用：胚胎著床
PF11007-0808	樂齡學習核心課程：樂齡學習核心課程教學：自我導向學習方案
PC11007-0629	精準精神醫療：機器學習：深度學習：憂鬱症：抗憂鬱藥物：多基因風險分數
PB11007-1064	肝癌：放射性同位素：透明質酸：微胞：蛋白質體
PE11007-0670	殖民：族群：西班牙文：華語：辭典：文化翻譯
PC11007-1647	到院前心跳停止：緊急救護系統：公共場所早期電擊：旁觀者心肺復甦術：自動電擊器：整合資料庫：地理資訊系統：大數據分析：人工智慧
PE11007-0642	世情小說：身體書寫：明末：清康熙時期
PB11007-2944	膽紅素：oled面光源
PB11007-3042	綠色城市：循證實證：循證大數據系統：規則歸納：約略集合：綠色預測模型：指標評估
PG11003-0469	地下水污染：熱能示蹤劑：分散式光纖溫度感測器：地下水流速：地下水流向
PC11007-1825	負荷型心臟磁振造影：t1數值：第二型糖尿病：心衰竭
PF11007-2008	冒牌者症候群：自我疼惜：圓滿幸福感：自我正向共鳴：高成就者
PC11007-1872	阿茲海默症：失智症：阻塞性睡眠呼吸中止症：睡眠障礙
PB11007-3588	大規模崩塌：多時序多元遙測影像：崩塌判釋圈繪：多時序遙測影像演化分析：區域性崩塌潛勢：三維數值模式破壞機制：滑移行為模擬
PB11007-3437	高光譜影像：小波轉換：特徵萃取：分類：深度學習：卷積神經網路
PB11007-3846	神經退化性疾病：阿茲海默症：輕度認知障礙：帕金森氏症：特徵篩選：特徵萃取：機器學習：深度學習：圖論：圖形識別：鑑別診斷
PB11007-3717	無人機通訊：獵能通訊：軌跡設計：通訊關聯：功率控制：凸優化：強化學習
PB11007-3806	選擇權交易：計算智能：遺傳演算法：高頻交易：策略發現及最佳化
PB11007-3804	金屬膜：平坦化：清洗：腐蝕：數值模擬
PF11007-2133	租賃會計：ifrs16：揭露品質：認列品質：崩盤風險
PC11007-2012	重覆性經顱磁刺激：重覆性周邊神經磁刺激：中風：運動功能：運動學分析
PC11007-2017	電腦輔助新藥研發：大數據：深度學習：最佳化技術：卷積神經網路
PA11007-1606	志村族：ekor細分：hecke eigensyetems：自守型：代數模型式：主極化超特殊abel環面：質量公式
PC11007-1977	神經膠原母細胞瘤：雪松醇：抗癌藥物：血管新生：分子標的
PB11007-4024	伏流水：地下水：氣候變遷：調適措施
PC11007-2075	血小板濃縮因子：小鼠著床模式：幹細胞：子宮內膜再生
PC11007-2128	cc2d1a：自閉症譜系障礙：攻擊行為：內側前額葉皮質：高脂飲食：米諾環素
PA11007-1783	金屬鏡像異構物叢集：鏡像異構物之轉變現象：亞穩分子動力學電腦模擬：泛密度函數緊密捆綁理論：分子動力學電腦模擬
PA11007-1784	液相層析法：質譜：滯留時間：代謝體學：機器學習
PB11007-4170	下背痛：智聯網：穿戴式：肌電感測
PG11004-0003	仲岳：水力發電：可行性研究
PG11006-0278	沉箱施工法：施工安全評估：職業災害
PG11005-0166	第五代行動通信系統：獨立組網：多接取邊緣運算：資通安全
PB11007-5076	經皮置管引流：人工智慧：影像重建：路徑規劃
PA11007-2286	單晶成長：插層石墨化合物：電化學原子插入法：超導性：化學鍵模型
PE11007-1144	服務設計：循環設計：路跑活動
PB11007-5040	降尺度：季長期流量預測：土壤含水量：主動推播
PF11007-2796	票價產品：座位選擇：附加服務：捆綁：敘述性偏好：菜單選擇：離散選擇
PC11007-2633	放線菌：生物活性成分：抗癌：抗發炎
PB11007-5019	多級孔：孔隙陶瓷：積層製造：3d列印
PA11007-2246	光聚合：雙炔基：苯蔻衍生物：有機電子元件
PE11007-1222	擴增實境科技：行動導覽：使用者經驗：遊戲經驗
PE11007-1230	西班牙：台灣：戒嚴時期：文化場域：文學生態
PC11007-2640	第一型雙極性情感性精神疾病：重鬱症：自殺企圖：危險因子：重複驗證：分子遺傳研究
PE11007-1267	包容的幽默：化育：早期德國浪漫主義：無限
PF11007-2890	負面經驗：有問題網路使用：心理健康：憂鬱：自尊：負面生命事件：教育成就：青少年：成年人
PF11007-2903	海洋台灣：台灣民族主義：海洋敘事：國族認同
PA11007-2387	超分子：自組裝：胜肽：能量轉移：細胞顯影
PC11007-2733	電燒手術：心房纖維顫動：認知功能：心血管預後：生活品質
PC11007-3417	腹膜透析：單細胞測序：炎症信號：細胞細胞交互作用：腹膜纖維化
PB11007-6416	機器學習：多準則最佳化：引子設計：聚合酶鏈式反應：限制酵素片段長度多型性
PB11007-6417	三維地理資訊系統：三維建物模型：無人機
PA11007-3228	地震預警：機器學習：震央距離：震度
PC11007-3570	多形性膠質母細胞瘤：嘌呤體：嘌呤代謝：tmz抗藥性：bcyrn1：bc200
PA11007-3229	角蛋白水凝膠：明膠奈米粒子：幹細胞球：三維組織培養
PG11007-0200	稜果榕：凋亡：口腔癌細胞：細胞毒：台灣產植物
PA11011-0006	困難梭菌：莢膜多醣：全化學合成：疫苗：均相化抗體
PB11011-0015	功能性高分子：生物擔體：加工技術
PA11011-0012	北極海冰預報度：北極平流層渦旋：統計海冰預報模式：深度學習海冰預報模式
PB11011-0034	綠色交通：能源轉型：生命週期評估：環境經濟：政策評估：車輛排放建模
PB11011-0035	網路消息理論：消息理論：消息瓶頸法：廣義消息瓶頸法：編碼理論：多端點訊源壓縮：多重描述編碼：廣播通道：雙向通道：多存取通道：聯合訊源通道編碼：迭代解調與解碼：馬可夫決策程序：最佳運輸理論
PG11003-0125	磊晶：高頻半導體元件：氮化鎵/矽：高電子遷移率電晶體：功率附加效率：整合天線封裝：相位陣列天線：數位預失真
PG11003-0163	多晶矽鍺：半導體微機電：感測晶片
PG11001-0131	椎間盤退化：超音波
PW11003-0462	加護病房：照護日誌：定性研究：滿意度調查
PW11003-0464	結核與非結核分枝桿菌：生活品質：身體意象：質性研究
PW11003-0442	異位性皮膚炎：塵蟎過敏原：中草藥純化物：細胞激素和趨化因子
PW11003-0446	日本腦炎病毒：神經發炎：神經傷害
PW11003-0447	腎臟癌：溶酶體
PW11003-0448	慢性鼻炎鼻竇炎：功能性鼻竇內視鏡手術：鼻腔沖洗：術後照護：木糖醇溶液
PW11003-0504	思覺失調症：代謝症候群
PW11003-0538	家族性高膽固醇血症：慢性腎臟病：低密度脂蛋白膽固醇：次世代定序分析
PW11003-0608	人工智慧：智慧手環：護理人員：職業壓力：無線個人區域網路
PW11003-0568	空氣過敏原：異位性皮膚炎：過敏進行曲：動物模型
PW11003-0570	成人型史笛兒氏症：微型核醣核酸-223：嗜中性白血球細胞外網：調控機轉
PG11002-0112	轉型正義：十二年國民基本教育課程綱要：高中歷史教學
PG11002-0113	歷史：轉型正義：教科書
PW11003-0530	靈性安適：安適科學：建構效度：醫學哲學：科學計量學
PW11003-0555	類風濕性關節炎：滑膜：超快杜卜勒
PW11003-0649	腦源性神經滋養因子：心血管疾病：心衰竭：口服葡萄糖試驗
PW11003-0697	肝癌：tgf-β訊息傳遞：tgfbr2：上皮間質轉化
PW11003-0698	逼尿肌低下：電針：電刺激：中醫
PW11003-0699	精準醫學：個體化治療：中醫體質：第二型糖尿病
PW11003-0680	連續血糖監測：黎明現象：心電圖：低血糖：第二型糖尿病
PW11003-0620	前列腺癌：轉移：malat1：基因多型性
PG11001-0510	交通安全：行為指標：核心指標
PW11003-0718	牛皮癬：牛皮癬關節炎：生物製劑：系統性紅斑狼瘡：抗腫瘤壞死因子-α誘導狼瘡
PG11002-0095	戶外教育：活動理論：十二年國民基本教育：校訂課程
PG11002-0132	思覺失調症：職能參與促進方案
PG11004-0073	地下水：螯合型碳材：重金屬回收：循環經濟
PC11004-0013	催產素：兒時創傷：思覺失調症：社會功能：社會認知功能
PC11004-0014	肺腺癌：上皮生長因子受體酪胺酸激酶抑制劑：後天抗藥性：上皮細胞間質轉化：鐵鉑奈米粒子：鐵凋亡
PA11004-0008	負責任的研究行為：不當研究行為：抄襲：研究治理：研究誠信：造假：作者列名：學術倫理：變造
PB11004-0090	高熵合金：奈米晶體：成核與成長：反應動力學：催化反應：製程放大技術
PC11004-0025	台灣南部社區：男性老人：老化的意義：詮釋現象學
PG11007-0089	自動需量反應：供電瓶頸區：需量反應方案
PG11005-0131	植物生物復育：基因轉殖：多價螯合劑：重金屬污染
PG11005-0134	5g：智慧交通數位神經中樞：資料融合：通訊協定：緊急車輛優先通行
PM11006-0080	智慧場域：智慧內容：數位經濟
PM11006-0081	沼氣發電：共醱酵：併網發電
PB11007-0061	電漿增益型原子層沉積：生物降解型金屬植體：鎂鈣合金：腐蝕防護：降解速率：生物相容性
PF11007-0036	跨國婚姻：移民二代：新移民：混種：新南向政策
PB11007-0091	可調控全方向性抗反射：蜻蜓翅膀：傾斜圓錐狀結構：形狀記憶型高分子：旋轉塗佈
PB11007-0092	預發芽糙米萃取物：高血壓：動脈粥狀硬化：脂肪肝：傷口癒合
PB11007-0029	3d列印：熔融沉積技術：物聯網：即時監控：訊息序列遙測傳輸：快速傅立葉轉換
PG11006-0127	第五代移動通信系統：虛擬商務：虛擬實境：擴增實境：零售數位轉型
PG11004-0158	四氯乙烯：生物復育：第三代定序：菌株篩選：本土菌株群：現地整治
PB11007-0077	溫拌瀝青：sasobit溫拌劑：緻密配比法：線性振幅掃描：原子力顯微鏡
PE11007-0019	例證：舉例用語：學術口語英文：學術英文：文類：領域：語料庫語言學：例證識讀素養
PB11007-0078	氫氣：甲烷蒸汽重組：二氧化碳吸附：反轉操作：優化
PA11007-0034	群試設計：非調整式演算法：disjunct矩陣：疊加碼：eff猜想
PE11007-0029	唐代：詩律：發展史：律詩：永明：拗體：數位工具
PE11007-0047	老街商圈：數位加值：體驗行銷：擴增實境：google 地圖
PF11007-0099	實質選擇權：投資：波動性：盈餘品質：ceo過度自信
PB11007-0177	最佳化模式：大量傷患事件：緊急醫療：路徑規劃：車輛旅行問題：拉氏釋限
PA11007-0098	基因體學：種化：物種界定：遺傳滲入：型態適應
PC11007-0082	心臟衰竭：心房顫動：腺苷單磷酸調節蛋白激酶抑制劑：心房：肺靜脈
PC11007-0056	血管緊張素第二型：微核醣核酸-615：腹主動脈瘤：mef2a：nfatc
PC11007-0057	非酒精性脂肪肝病：非酒精性脂性肝炎：肝脂質代謝：肝纖維化：c型凝集素18a：糖尿病前期：第二型糖尿病
PB11007-0130	彈性光網路：網路資源交易與擴充：虛擬網路對應：啟發式演算法：資源共享
PE11007-0060	威廉·布洛斯：流動性：中性：後現代主義：羅蘭·巴特：剪貼：跨國主義：時空：性別
PB11007-0197	過敏原：食品過敏：丙酮酸激酶
PB11007-1109	第五代毫米波通訊：平衡式：共模抑制：交錯耦合：差動：雙工器：分佈式耦合：雙頻：雙模：前端：低損耗：混模：多頻：多通道雙工器：四通道雙工器：介質集成波導：t形接合器：傳輸零點：波導阻抗
PB11007-1114	陽極氧化鋁：氣體輔助：紫外光固化膠：拉曼散射：奈米結構：抗反射：接觸角
PD11007-0147	微核醣核酸(microrna)：斑馬魚(zebrafish)：非酒精性脂肪肝病(nonalcoholic fatty liver disease：nafld)：非酒精性脂肪肝炎(nonalcoholic steatohepatitis：nash)：肝癌(hepatocellular carcinoma：hcc)
PE11007-0267	會展人才：就業影響：會展產業
PF11007-0711	護理系學生：高關懷學生：復原力：敘說分析：焦點團體：行動研究
PB11007-1186	深度學習：對抗性攻擊：資料汙染攻擊：黑盒攻擊：類神經正切核：物件偵測：物理攻擊
PB11007-1187	益生菌：無抗養殖：冷鏈物流：品牌意象
PA11007-0474	影像去背：不適定問題：去背拉普拉斯：特徵值問題：線性系統：組合多重網格
PE11007-0261	多模態識能：大學-業界合作夥伴關係：設計學習：文案撰寫
PF11007-0668	家族控制企業：財務報導品質：組織認同感：組織承諾：獨立董事
PB11007-1582	液晶感測器：膽固醇液晶：物聯網(the internet of things：iot)：揮發性有機物(volatile organic compounds：vocs)：智慧型監控系統
PB11007-1581	老年性黃斑部病變：視網膜色素上皮細胞：細胞自噬：微核糖核酸：pgc-1α：beta-mangostin：視網膜病變
PB11007-1208	5g：網路切片：網路功能虛擬化：軟體定義網路：mano：nfv 資源協調器：多網域協調器：隨機存取：虛擬資源配置：行動邊緣計算：5g半持續排程：車間side link介面
PF11007-0834	翻轉教室：自主規範學習：提問問題：自我效能
PD11007-0157	fssc：蘭科植物：生物特性：分子親緣性
PF11007-0844	全球素養：英文教科書：內容分析：批判分析
PB11007-1369	旋轉微流道晶片：電化學阻抗感測器：前處理檢體：離心力與科氏力：圍手術期全身性過敏反應
PA11007-0621	天氣系統：降雨熱區：大尺度環流：地形效應
PB11007-1531	浮式風機：錨錠基礎：風險評估
PF11007-0947	價格透明：價格分散：搜尋成本：醫療器材
PF11007-0791	設計式教學法：道爾頓制：文納特卡制：進步主義教育
PC11007-0727	慢性發炎疾病：肺炎球菌溶血素：微生物蛋白：類鐸受體：動脈粥狀硬化：候選藥物：肺炎鏈球菌
PC11007-0728	阿茲海默氏症：神經毒性：神經可塑性：抗體藥：免疫療法
PB11007-1326	類澱粉蛋白：tau蛋白：血液的生物標誌物：阿茲海默失智症：外泌體
PC11007-0768	葉綠酸：葉綠素酯：抗病毒：登革熱病毒
PC11007-0628	帕金森氏症：神經退化疾病：鞘脂啟用蛋白：基因治療
PA11007-0483	二亞胺：二氧化碳/氧化苯乙烯的偶合：己内酯：開環聚合：鋁金屬
PB11007-1066	避難型山屋：山岳建築：構法計畫：管理維護
PC11007-0680	鴉片受體：痛敏肽受體：嗎啡：便秘：呼吸抑制：心臟功能抑制：止痛
PC11007-0679	自體免疫糖尿病：非肥胖型糖尿病(nod)小鼠：高鹽飲食：富含ste20-相關脯胺酸/胺基丙酸激酶(spak)：b淋巴細胞誘發成熟蛋白質-1(blimp-1)：肌肉腱膜纖維肉瘤致癌基因同源c(c-maf)：介白質21(il-21)：介白質23：介白質27：基因轉殖(transgenic)鼠：基因剔除(knockout)鼠：基因減弱(knockdown)鼠：第一型/第十七型(th1/th17)輔助細胞
PF11007-1649	港埠經營業：貨櫃碼頭營運：環境道德：生態創新：環境績效
PD11007-0351	無人載具：澎湖：珊瑚礁：海草床：多光譜
PB11007-2888	合併補貨：週期性時程：異質性車輛路徑問題：軟性運算解法
PB11007-3098	深度學習：乳癌轉移：子宮頸癌：自動診斷：全景域數位病理切片影像判讀
PB11007-3101	公民科技：公民科技社群：公民實踐：實務社群：開放資料：公眾利益：公民參與
PB11007-2985	光資料中心網路：sdn控制：光隧道排程：網路工程：故障偵測：深度機器學習
PG11003-0473	微電網：配電系統：電力調度
PF11007-1932	肢體障礙：足踝動作訓練：姿勢平衡：電腦遊戲
PE11007-0760	平行互等句：表標的之情態：情態：焦點連結
PC11007-1785	毛玻璃結節：肺腺癌：紋理分析：低劑量肺部電腦斷層：結節生長：預測模型
PF11007-1934	偏差校正的兩階段最小二乘法（b2sls）：集中不等式：眾多工具變數的逼近理論：隨機矩陣理論（rmt）：稀疏性：嚴格外生性
PB11007-3516	調諧質量阻尼器：慣質：主動控制理論：多功能減振系統：振動台試驗
PA11007-1626	i型凝集素：唾液聚醣：阿茲海默症：b型肝炎病毒：x-光蛋白晶體繞射結構解析法：抗體研製
PB11007-3610	耐震性能：耐久性能：鋼筋混凝土：建築結構：材料劣化：材料老化
PB11007-3611	可見光通訊系統：空間調變：巨量多輸入多輸出：發光二極體
PB11007-3612	交流電熱流：焦耳熱：電雙層極化
PC11007-1891	肝細胞癌：微血管侵犯：影像：生物跡象訊號：肝臟移植
PC11007-1892	類黃酮碳奈米粒子：登革熱病毒：日本腦炎病毒：抗病毒機制
PA11007-1608	水溶性鈀觸媒：綠色化學：ppm 等級：硝基芳烴還原：聯芳基胺
PB11007-3828	5g通訊網絡（5th generation wireless systems）：邊緣雲計算：雲製造：虛擬化技術：微服務架構：智慧製造：人機協同：移動式協作機器人：uwb：slam：物件測距：直譯器：編譯器：5g：人工智慧：深度學習：邊緣雲計算：機器視覺
PB11007-3829	鹼激化混凝土：微觀結構：微觀力學：再生混凝土骨材：等效膠結料體積混合方法：無水泥混凝土：可持續發展目標：纖維加勁：握裏性能
PC11007-2161	缺氧誘導因子：roxadustat：血管鈣化：apo-e缺陷小鼠：高磷食物：慢性腎衰竭：血管平滑肌細胞：內皮細胞：細胞凋亡
PC11007-2160	脊髓損傷：周細胞：血管障壁：ccaat/加強基因結合蛋白(c/ebpδ)：再生
PF11007-2311	翻轉教室：團隊導向學習：課堂內行為投入：課堂外行為投入：階層線性模式
PC11007-2047	髕骨股骨關節疼痛：物理治療：運動訓練：影響因子
PF11007-2187	學術學門：教育研究：教育與陶冶科學
PC11007-2508	肺炎：重複肺炎感染：口腔衰弱：口腔細菌：口腔管理：智慧牙刷
PF11007-2652	金融科技：監理科技：監管科技：保險監理：原則基礎：風險基礎管制：大數據：人工智慧
PF11007-2601	辦公室照明：生理反應：心理回饋：疲勞評價模型：智慧辦公室白光照明環境之疲勞預測模型：徑向基底函數類神經網路：主成分分析：多元線性回歸模型
PB11007-4761	灰階值恆定：影像驗證：編碼簿
PA11007-1869	dna序列設計：生物邏輯閘：訊號放大：奈米機械：生物探針及分析平台
PB11007-5072	幾何視錯覺：錯視形狀文法：汽車造形設計：形態曲綫：形態意象
PB11007-5077	腸道微生物培養體平台：akkermansia muciniphila本土新穎菌株：抗腸炎：次世代益生菌：後生元
PB11007-5078	電力調度：演化演算法：多目標：適應性：強化學習：大規模
PF11007-2660	照護連續性：教育行動研究：病人為中心照護：病人登錄系統：全人照護
PF11007-2659	心理健康素養：統合分析：結構方程式模型：社群媒體：文本分析
