PG10605-0204	冷鏈物流：智慧物流：高運力：供需調度：跨國通路
PG10607-0114	漢生病：慢性傷口：中醫
PG10606-0017	離岸風場：風能評估：光達
PG10606-0020	渦流效應：電纜終端匣支架：熱導率：送電容量
PG10606-0069	社會福利政策：社會福利慈善事業基金會：社會福利公益信託：社會福利法規
PG10606-0075	社會救助：低收入戶：中低收入戶：脫貧
PG10607-0013	觀眾滿意度調查：宜蘭傳統藝術園區：audience satisfaction survey：yilan ncfta
PG10609-0042	食品衛生安全：食安：驗證
PG10607-0007	複合動力系統：無人機：推進系統
PG10607-0159	海象：氣象：氣象衛星：即時預報：災防應用：地理資訊
PG10608-0011	灰泥：灰作：修復：養護
PC10608-2055	葛瑞芙氏眼病變：眼窩纖維母細胞(orbital fibroblast)：il-17a：inflammasome：il-1β
PF10608-0744	遊憩安全氣候：遊憩風險知覺：水域遊憩活動
PC10608-2367	類風濕性關節炎：潛伏結核感染：微型核糖核酸
PC10608-2162	fibrinogen like protein 1：l-name：子癲前症
PC10608-1732	肝炎復發：b 型肝炎病毒：口服抗病毒藥物治療：病毒特異性t 細胞：調節性t細胞：細胞激素
PC10608-2250	結直腸癌：復原力：腸胃道症狀困擾：擔心復發：生活品質
PB10608-2074	髕股骨疼痛症候群：股內斜肌：閉鎖動力鏈：髖內：肌電圖
PF10608-0505	休閒價值觀：持續涉入：情境涉入：休閒體驗：腦波：心率變動
PB10608-3274	單一/混合夾帶劑：選擇率：篩選：協同作用：分離程序
PB10608-2097	體溫發電：熱致電手環：散熱鰭片：3d 列印
PF10608-0548	創業意圖：目標導向行為模式：社會交換理論：社會認同理論：調節效果
PB10608-2786	高性能材料：雙核心自復位斜撐：勁度調整：斜撐震動台試驗
PF10608-0607	遊戲學習：技職教育：闖關評量
PB10608-3179	多核心可程式化邏輯平台：ros 機器人作業統：影像處理：跨平台機器人載具：多方協同
PB10608-2036	熱電奈米線：20 nm 以下：cu2-xse：snse：zn4sb3：in4se3：agsbs2：cuagse：mgagsb：cufes2：zt 值：元件效能
PG10607-0165	活動性結核病：丙型干擾素血液測驗：核酸擴增測試：診斷工具
PG10607-0172	代謝症候群：植物新藥
PG10607-0168	鹼性成纖維細胞生長因子：軟骨肉瘤：微小rna：內皮生長因子-c：淋巴管新生
PC10608-1636	大腸息肉：進行性腺瘤：監測性大腸鏡：微型核糖核酸(micrornas)：次世代定序(next generationsequencing)
PB10608-2806	湖山水庫：水庫操作規則：氣候變遷：生態基流量：經驗模態分解法
PF10608-0874	溝通技巧：臨床牧關教育：同理心：體驗學習：行動反思
PB10608-3381	佈局圖案分群：超大型積體電路設計：電子設計自動化
PB10608-2428	排程設計：疊代式偵測解調：多輸入多輸出通訊系統：編碼調變：低密度奇偶檢查碼
PB10608-3463	肝細胞癌：系統生物學：代謝重編程：warburg 效應：差值演算法：大數據
PB10608-2499	梳狀光源產生器：光學雙邊帶：光學單邊帶：相位調變：微波光纖
PB10608-3596	抗軟錯誤：抗軟錯誤翻轉：抗軟錯誤暫態：抗軟錯誤翻轉/暫態協同設計：算術電路
PB10608-3924	生醫：回授：閉迴路：控制：交流直流轉換：整流：穩壓
PC10608-1624	類病毒粒子：基因輸送：腦腫瘤：增強化療：mirna 影像追蹤
PA10608-0467	長期記憶：神經網路：超解析顯微術
PB10608-3606	木犀草素：海藻糖：界面活性：生物可分解：均染性：低細胞毒性
PB10608-2263	多階電路：升降壓型轉換器：電動車：cuk type：sepic type：主動功因校正
PG10607-0158	結核病：老年：高齡：身體質量指數
PC10608-1440	奈米磁粒子：茶兒茶素：內吞作用：蛋白聚醣
PB10608-3450	真空電晶體：電子束直寫微影：石墨烯電晶體：堆疊式真空通道電晶體
PF10608-0544	國民中學：初任校長：職涯選擇：工作適應：質化研究
PB10608-2834	深度學習：文字轉語音：韻律模型：語音合成
PB10608-2530	近斷層地震：土壤-結構互制：動態歷時分析：樁基礎裸露：p效應：殘餘變位
PB10608-2412	子宮內膜癌：肥胖：死亡率：身體質量指數
PF10608-0803	準實驗設計：數學創造力：融入式數學教學活動
PC10608-1651	clec5a：嗜中性白血球細胞外捕捉：發炎體：表現il-17a 的 t 細胞
PB10608-3582	木質纖維：相變微膠囊：儲能：導熱：釀酒廢棄麥粕
PB10608-2712	地層下陷：地下水：時空資料分析：資料融合：時空特徵分析：風險評估
PF10608-0827	青少年偏差：跨國研究：青少年：犯罪
PB10608-2109	高齡者：感性工學：魅力工學：感性意象：評價構造：共感：跨感官知覺
PB10608-2886	顧客關係管理：差異化服務模式：供應鏈(生產與運送)：多目標混合式探索解：顧客滿意度：平行搜尋：粒子群搜尋法：類電磁搜尋法：大範圍鄰近解搜尋法：顧客喜好資訊
PA10608-0335	先進微波探測儀：高光譜紅外線垂直探測儀：衛星資料同化：近即時颱風預報
PB10608-3267	戴奧辛減量：脫硫：脫氯：鈣基吸收劑：硫氯比
PC10608-2331	腫瘤相關之組織嗜伊紅性白血球增多：頭頸癌：腫瘤相關巨噬細胞：極化現象：細胞激素
PB10608-2937	乳房微波影像：協方差矩陣估測：rao-test 偵測器：壓縮感知：凸集合最佳化
PB10608-1988	石墨烯：氮化矽：非線性光學：波導：矽光子學
PB10608-3701	機器代理人：虛擬實境：遠端實現：智慧型機器人：遠端控制
PB10608-3046	產業群聚：區域恢復力：調適力：區域發展：知識導向都市發展
PC10608-1668	專科護理師：職場組織氛圍：工作滿意度：照護品質
PF10608-0948	同理心：護理教育：遊戲教學：學習效能
PC10608-1478	胎兒：吞噬作用：吞噬細胞：細胞分化：th1 和th2 免疫力：樹突細胞
PE10608-0061	高攀龍：心學：理學
PC10608-2239	胰腺癌：纖維組織增生：胞外泌體：免疫抑制
PF10608-0695	跨領域學習：數位敘事：職能：心智工具
PB10608-2379	串聯系統：年齡回溯法：失效率降低法：分群預防保養：維修門檻值
PB10608-2842	高光譜資料：雜訊去除：訊號回復：遙測技術：大氣校正輔助模型：衛星多光譜遙測葉綠素估測模型
PC10608-2408	粒腺體未折疊蛋白質反應：腎臟衰竭：粒腺體壓力
PB10608-2896	地層下陷：解析度：淹水潛勢：人工湖：高空間解析度即時互動淹水模式
PF10608-0493	食品產銷履歷：驗證標章：健康風險知覺：條件評估法：條件行為法：選擇試驗法
PB10608-3502	奈米纖維：聚丙烯複材： 晶體：單針電紡：雙針電紡：同軸電紡：微結構
PC10608-1291	肺癌：腫瘤相關巨噬細胞：上皮生長激素受器：酪胺酸酶抑制劑
PC10608-1324	胃癌：脂肪激素：amp 依賴的蛋白激酶：化療藥物
PB10608-3076	強健性語音辨識：語音強化：混響效應：強健性主軸成分分析法：獨立成分分析法：非負矩陣分解法：離散小波轉換：聲學頻譜：調變頻譜
PC10608-2364	海馬迴theta 波：運動訓練：大鼠：學習記憶能力：動作熟稔程度：情緒：睡眠：心血管自主神經功能
PB10608-3078	飛輪儲能系統：永磁同步馬達：新型電流控制：線上參數估測
PB10608-3396	物聯網：近似計算：臨界值邏輯：低功耗
PB10608-3213	微孔洞二氧化矽奈米粒子：迷你乳液：四乙氧基矽烷：十六烷三甲氧基硅烷共同安定劑：聚苯乙烯犧牲劑
PC10608-1846	活體肝臟捐贈者：症狀困擾：症狀處理：健康生活品質：網頁學習：電子問卷
PB10608-2489	模糊數學：實值選擇權分析：投資決策：風險適應性：敏感度分析
PB10608-3801	自主式機器人：a* 路徑規劃：合作搬運：安全性模型：大數據分析：物聯網：協調控制
PC10608-1882	膠質母細胞瘤類幹細胞：rna 結合蛋白musashi-1：周圍血管浸潤：後轉錄調控
PB10608-3679	肥胖：代謝症候群：停經：棕色脂肪組織：米色脂肪細胞：第一型未偶合蛋白：抗氧化劑硫辛酸：大豆異黃酮
PF10608-0709	促進性建言：抑制性建言
PB10608-2210	太陽能電池元件：鈍化層：蝕刻阻擋膠：網印：光電轉換效率
PB10608-3105	雷達回波：再滑動邊坡：預警系統
PA10608-0504	叢枝菌根真菌：海拔梯度：針葉林：復舊生態學：環境基因組學
PB10608-3504	分子動態模擬：離子對雙親分子：膽固醇：類乙醇體陰陽離子液胞
PB10608-2087	感知無線隨意網路：媒介存取協定：隱藏節點：暴露節點：叢集
PC10608-1249	失眠症：生物節律：生理時鐘基因：睡眠多項生理檢查：腕動儀：光照治療：喚醒：警覺度：注意力：平衡：睡眠品質：白日嗜睡：憂鬱：焦慮：健康相關生活品質
PB10608-2589	太陽能電池：矽晶電池：網印型指叉式背接面電池
PB10608-2472	平板型甲醇蒸汽重組器：圓柱陷孔：產氫性能：輸出淨功率
PC10608-2131	食道癌：鱗狀細胞癌：特異器官轉移：內皮細胞異質性：微型核糖核酸
PC10608-1505	尿路上皮：緊密連接蛋白：t 輔助細胞：蛋白質受器：基因轉錄因子
PB10608-2303	液壓油膜：油膜組尼：旋轉機械：減振
PB10608-2874	手工具：肌力：握力：人體計測：產品設計
PF10608-0965	護理倫理教育：道德敏感度：道德判斷：護生
PM10606-0004	離島：衛生安全管理：食品產業諮詢診斷
PM10606-0006	精細化學品：國際化學品法規：綠色化學品
PM10606-0010	資訊服務業：資訊服務業：資訊服務業
PC10608-1827	神經性厭食症：恢復：經驗：質性研究
PB10608-3124	孤島效應：複合式災害：災害風險評估：韌性力：脆弱度：自主防災社區
PB10608-2845	海岸地區：地層下陷：地下水：多層含水層：氣候變遷
PA10608-0326	藍碳：林木密度：生態系服務：最優控制：甲烷：環境dna
PC10608-1549	顆粒：流變
PD10608-0067	氣候變遷：溫度：室內：建築：易感族群：調適：公共衛生
PB10608-3840	深層海水：電解水：蔬果：殺菌：農藥
PB10608-3614	氣凝膠複合材料：3d 多層織物結構設計：抗氣爆消防衣用氣凝膠複合材料
PB10608-3717	移動式雙臂機器人：視覺式深度學習：三維物體辨識與姿態估測：同時定位與地圖映射：強健型視覺追蹤
PC10608-1246	蜘蛛膜下腔出血：延遲性腦血管痙攣：早期腦損傷：延遲性腦缺血：nrf2 活化劑
PF10608-0968	傳統工匠：職業行為：技術能力：台灣近代
PC10608-1744	生酮飲食：腦部惡性腫瘤
PB10608-2748	顧客價值：華人健康老化：高齡照顧服務產業：長期照顧十年計畫2：高齡者
PB10608-2394	大規模崩塌：板岩：無人飛行載具：三維雷射掃瞄：質點影像速度法：正射影像：破壞機制
PB10608-3609	超薄 tan：阻障層：銅導線製程：自組裝單層：電場輔助：無電鍍銅
PB10608-3561	積體電路元件：場效應電晶體：鰭式場效應電晶體：奈米線場效應電晶體：等效電路模式：自動參數萃取技術：最佳化方法與實現：人工智慧計算演算法：視窗介面程式：人機圖形介面程式：自動萃取器雛型系統
PC10608-2020	術前同步放射化學治療(ccrt：concurrent chemoradiotherapy)：ercc1：剔除ercc1於ccrt 抗性細胞株(sw480ercc1-)：過度表現ercc1 於ccrt 易感性細胞(hct116ercc1+)：可體外追蹤原位結直腸癌動物模式
PB10608-3028	乙炔：乙烯：熱裂解：多環芳香烴：柱塞流式反應槽：化學動力學機理：機理簡化
PB10608-2030	基因調節元件：基因演算法：基序識別：啟發式演算：降維
PB10608-3870	無切割晶片技術：晶片鑄造：沾鑄：晶片評價：photoluminescence
PW10607-0027	省水標章：洗衣機：效能測試方法
PA10608-0374	淺海熱泉：氣候變遷：生物多樣性：海洋資源之永續：保育：教育倡議
PB10608-3754	服務機器人：萬向驅動型機器人：階層式控制：增強模糊動態追蹤控制：軟硬體共同設計的平台：rgb-d 視覺系統：rfid 系統：多分類支持向量機：人體骨幹化及膚色切割：熵及特點：幾何特徵比對：人臉辨識：人機互動
PF10608-0702	工程設計：工程教育：stem
PA10608-0398	金屬奈米膠囊：近紅外光刺激：dna-藥物複合物：非侵入性治療：精準控制
PB10608-2288	文化資產：環境監測：風險地圖：機械學習
PB10608-3317	積層型三維積體電路：低溫多晶矽：奈米線
PC10608-2045	過氧化物還原酶：免疫癱瘓：心因性休克：葉克膜：基因多型性
PB10608-2630	伏流水：地表水地下水交換：指標評估方法：數值模式：克利金地質統計插值
PB10608-2616	岩石邊坡：山崩潛感：調查尺度：破壞機制：變形特徵：堆積特性
PA10608-0506	海洋性褐藻：馬尾藻科：系統分類：遺傳多樣性：氣候變遷：台灣：生活史
PC10608-2324	大腸直腸癌：犬尿氨酸3-氫化酶：腫瘤發生
PB10608-2497	發光二極體：瑕疵檢測：深度學習：卷積類神經網路：區域性卷積類神經網路
PB10608-1966	催化性氣化：合成氣：稻殼：沸石：二氧化碳：吸附分離：化學轉化：甲醇：碳奈米線：多層奈米碳管：複合觸媒：生質廢棄物：x 光吸收光譜：回收再利用
PC10608-1723	婦科癌症：下肢淋巴水腫：漸進性抗阻力肢體運動
PC10608-1840	jun 二聚體蛋白：氧化壓力：抗氧化反應：活性含氧物質：幹細胞特性：多能性：腦損傷
PB10608-2344	數位偵測：奈米壓印：非標定晶片：菲諾共振：週期奈米結構
PC10608-1658	chemokines：heparan sulfate：heparin：glycosaminoglycans：lymph nodes：cell motility：ccl21：ccl19：cxcl13：ccl3：ccl4：cxcl9：cxcl10：mast cells
PC10608-1394	巴金森氏病：腦部呼吸神經元網路系統與自律神經網路系統：血管感壓反射靈敏度：發炎反應與氧化壓力：呼吸肌復健訓練：心肺功能
PC10608-2453	口腔黏膜上皮細胞：眼角膜：羊膜：細胞培養
PW10608-0001	電容去離子技術：低耗能水再生技術：儲能系統
PG10608-0068	氫氟酸：氟化鈣污泥：冷凝：蒸餾
PG10608-0069	社會福利：社會住宅：公益信託：核心價值與指標：身心障礙福利：性別分析
PG10607-0030	不沾黏：敷料：聚氨酯
PC10609-0046	意識：意識疾病：大腦網路：功能性磁振造影：腦電波
PF10609-0202	社區照顧：健康促進：社會賦權：社區營運
PB10609-0229	適地化服務擴增實境：beacon：臺灣糖
PF10609-0109	原住民科學教育：行動學習：協作式問題解決：問題解決能力
PB10609-0236	遊方敘述：僧傳：自動標記與事件擷取技術：時空資訊應用：研究平台
PG10606-0119	鈷基合金：粉末：積層製造：齒科醫材
PG10607-0148	思覺失調症：復元概念：復元階段
PG10607-0049	全責照護：家庭照顧者：長照人力：長期照顧
PB10608-2543	綠建築：多目標優化：建築外殼：節能：台中捷運：列車排班
PB10608-2407	地理資訊系統：空間資料探勘：人口老化：開放資料：社區資源：地理可近性
PC10608-1284	奈米金複合基材：間葉幹細胞：血管組織修復
PB10608-2430	二氧化鈦電極：電解：產氫：自然光
PC10608-1776	h5n1 禽流感病毒：樹突狀細胞：細胞激素風暴：raf-1：dc-sign
PB10608-2487	硬碳：負極材料：鋰電池：酚醛樹脂：高分子鍍層
PC10608-1552	左心室質量：次世代基因定序：系統性流行病學
PE10608-0095	信愛：毗濕奴：黑天：浸神聖者：毗濕奴教法：嬉戲：傳承
PB10608-3438	高分子複材：奈米管：溶液製程：光散射分析：流變分析：顯微影像分析
PB10608-2639	資訊系統發展：軟體反向工程：本體模型：統一塑模語言：線上品質分析
PC10608-2183	輸血：輸血反應：輸血相關急性肺傷害：輸血過濾器
PB10608-2971	微渦輪：起動發電機：高速電機：電能轉換：振動噪音
PB10608-3155	廢水脫色：可食用性植物：中草藥：電子梭：微生物燃料電池：綠色永續發展
PB10608-2193	led 驅動器：線性穩流器：切換式轉換器：pwm 調光：電流平衡：單電感器多輸出：分時多工控制：暫態響應：電容跳壓技術
PB10608-2410	5g 無線蜂巢網路：裝置間通訊：裝置發現：干擾管理：物聯網：頻譜資源配置
PE10608-0067	生態與宗教：生態現象學：魯曼：社會系統理論：可持續發展：猶太教：基督宗教
PG10608-0048	全民健康保險居家醫療照護整合計畫：照護服務經驗：滿意度：性別分析
PG10608-0044	假牙：3d列印：implant bar：客製化
PG10608-0034	智慧監控系統：資料分析：即時監控：影像分析：安全管理
PC10608-1896	可預防性傷害：老年病人：評估：病人安全
PB10608-2739	農地利用：農業環境公共財：集體行動：新鄉村典範：農村再生：農業相關專區
PB10608-2355	地球觀測集團(geo：group on earth observations)：全球觀測總系統(geoss：global earthobservation system of systems)：台灣整合地球觀測系統(tieos：taiwan integrated earthobservation system)：守望亞洲(sentinel asia)：開放地理資訊協會
PF10608-0906	外科：外科醫師：社會當責：大眾參與：連續性情境模擬：手術就醫流程
PB10608-3714	最大摩擦係數：路徑規劃：模型預測控制：自動緊急轉向：直接偏航力矩：g 力導引控制：控制分配
PC10608-1406	運動：中風：血栓：血液凝固：單核球：血小板
PC10608-1407	甲狀腺癌：cyclin-dependent kinase 抑制劑：multi-kinase 抑制劑：合併療法
PC10608-1320	全身性紅斑性狼瘡：nkp46：介白質-15：介白質-18：nk 細胞
PF10608-0925	老年照護：長期照護：社區照護：跨領域學習
PF10608-0497	微積分：翻轉教室：翻轉教學：合作學習
PB10608-3103	中風：多感官刺激：震動：鏡像療法
PF10608-0953	失智症：課程：能力：情境模擬學習：團隊導向學習
PC10608-1311	風險分析：關鍵基礎設施：bwm：fmea：灰關聯
PB10608-3884	石墨烯：二維材料：能源：原子層
PB10608-2401	正交頻率分割多工：子載波間干擾自消預先編碼：頻移估測：陣列信號處理
PB10608-2892	多路徑效應：超解析：壓縮感測法：深度學習：軟體無線電平台
PC10608-1375	敗血症：脂肪幹細胞：外泌小體
PB10608-2204	傳輸係數：反射係數：介電常數：介電損耗：複數介電常數：損耗正切：微波測量
PB10608-3829	金屬工件：深度學習：智慧工廠：加工精度：缺陷檢測系統
PB10608-2562	奈米二氧化矽：磨潤：燃料消耗：粒狀污染物：排放
PC10608-2351	細胞凋亡：條件式基因剔除小鼠：發育：毛囊：毛囊周期：增生：幹細胞：轉譯控制腫瘤蛋白：基因轉殖小鼠
PC10608-1962	攝護腺癌：細胞激素：癌細胞轉移：血管增生：抗藥性
PB10608-2849	綠色訊息：綠色消費：圖文設計：生活型態：魅力因子
PC10608-1499	慢性腎衰竭：尿毒症性心肌病變：鈣離子調節：發炎體
PB10608-2375	bgf：動態測試：舒適度：心跳變化：踩踏輸出功率
PB10608-2612	氨固態氧化物燃料電池：全電池測試：電池性能和阻抗頻譜量測：氨燃料之尾氣燃燒器：可攜式氨sofc 電源概念設計
PB10608-3143	魷魚：墨囊多醣：組織胺：旗魚：生物活性
PB10608-3120	大規模疏散：避難據點：避難路線：災害防救計畫：全災型防災計畫
PC10608-1475	早期介入：課堂參與：作息本位模式：以家庭為中心：執行科學：協力合作模式
PC10608-2049	肝癌：蕾莎瓦：計畫性細胞死亡配位基-1：巨噬細胞
PF10608-0719	測地線：航法：反演理論：電腦代數系統
PB10608-2679	豪⽶波通訊：移相器：類⽐預編器：統計預編器：碼書設計
PB10608-2832	高程現代化：全球導航衛星系統：水準測量：大地起伏模式：動態垂直大地基準
PC10608-1601	高血壓：原發性高血壓大鼠：認知功能損害：失智症：滾輪運動訓練：降血壓藥物：心血管自律神 經功能：睡眠：腦波：認知功能行為測試：組織免疫染色
PB10608-2212	含水層脆弱度：drastic 模式：農業權重：糧食安全
PB10608-3000	坡地災害：降雨：無人載具空拍：理論模式：室內試驗：坡地防災：預警模式
PB10608-3761	全球定位系統：慣性導航系統：無人飛行載具：gps/ins：科技農業：智慧型種植監控
PF10608-0786	工資分配：所得分配：消費分配：財富分配：分配不均：區域差異
PB10608-3799	自主導航：地圖建置：機器人定位：路徑規劃：同時定位與建圖：影像特徵辨識：視覺型同時定位與建圖：sopc 系統：fpga：低成本機器人
PC10608-1344	purkinje 細胞：隙連接：連接蛋白：急性心肌梗塞
PC10608-2433	異體複合移植：分裂耐受：中樞耐受：外周耐受
PB10608-3172	滴淋式蒸發器：薄膜蒸發：兩相流：數值模擬：流場觀測：冷媒：液氣分離：空調節能
PB10608-2926	表面電漿共振：結核桿菌：微小核糖核酸：光纖通訊波長：低同調光纖干涉：空間相位
PC10608-1673	組蛋白脫乙醯酶6：sp1 轉錄因子：帝盟多：gbm 幹細胞：辛二醯基苯胺羥胺酸
PB10608-2800	超超臨界發電廠：抗潛變合金鋼：銲後熱處理：熱模擬：潛變斷裂
PB10608-3234	肥胖：下肢缺血：精胺酸：內皮前驅細胞
PB10608-1971	4 階脈衝振幅調變：水下通訊：水下可見光通訊
PF10608-0665	數位教學工具：創業教育：主題模型：目標模式：近側發展區
PB10608-3201	靜電紡絲：石墨烯：高分子型分散劑：智慧衣
PB10608-2458	led 燈：色溫：照度：演色性：水果滿意度
PC10608-1978	口腔黏膜下纖維化症：長鏈非編碼核醣核酸：肌纖維母細胞表型：病理機制
PB10608-2292	長照2.0：資訊共享平台：橘色科技：流程再造：周全性老年評估
PB10608-3729	擴增實境：深度學習：導航系統：nvidia 嵌入式平台：虛實整合
PC10608-2081	巨噬細胞：腎絲球腎炎：命運追蹤：介白質10：轉錄因子lhx1
PC10608-2328	定量影像分析：放射性栓塞治療：肝癌：肝門靜脈侵犯：肺分流比例
PB10608-2101	太陽能發電系統：滑模控制：最大功率追蹤：h 無窮：改良型布穀鳥最佳化演算法
PB10608-3670	積層型三維堆疊：次十奈米電晶體：鰭式電晶體：奈米線電晶體：多層結構奈米線電晶體
PB10608-2940	d2d：社群感知：同伴發現：模式選擇：資源配置
PB10608-2197	仿生：次波長結構：有機發光二極體：量子點：植物照明
PB10608-3497	ito 膠體溶液：單晶cuinse2 奈米柱：界面活性劑：荷葉效應：核殼結構：載子傳輸
PC10608-1522	雙重作業：姿勢平衡：作業優先性：巴金森：腦波圖：注意力
PC10608-2464	細胞衰老：糖尿病：粒線體：先天免疫反應
PF10608-0627	餐飲美學素養：能力立方模型：深度訪談：模糊德爾菲法：決策實驗室分析法：網路程序分析法
PC10608-1848	細胞週期：即時觀測平台：生物反應器：掃描式電化學顯微鏡：細胞耗能指紋：腫瘤治療：影像光纖顯微鏡：海馬生物能量儀
PB10608-2855	電動車：冷暖空調：除霧：熱系統管理
PB10608-2264	電動公車：時刻表調整：電池充放電排程：再生能源：蒙地卡羅樹搜尋法
PC10608-1966	癲癇：量化腦波：標記
PB10608-1987	環境成本會計：環境保護：環境管理政策
PB10608-2290	產學合作：產學合作協議：策略地圖
PB10608-2708	毫米波：多輸入多輸出：分集天線：通道：第5 代行動通訊
PC10608-1938	正常腸道上皮細胞：轉型：cd44v6：訊息途徑：幹性
PC10608-2479	肺功能：發聲和吞嚥症狀：次發性甲狀旁腺功能亢進：副甲狀腺切除術
PB10608-2798	雨洪管理：雨水貯集：水患韌性：洪患風險
PB10608-3601	明膠：油水乳化系統：界面活性：抗菌能力：抗氧化能力
PC10608-1459	晶格氏液：外科重症：急性腎損傷：低血容：敗血症：顯影劑：橫紋肌溶解
PB10608-3873	虛擬化：即時作業系統：排程：工業物聯網
PB10608-1972	氣候變遷：極端降雨：土砂災害：調適策略
PB10608-3129	水性聚氨酯：幾丁聚醣：紫外線：降解
PD10608-0064	紅樹林：林分結構：林分建立：溼地鳥類：群聚組成：棲地選擇
PB10608-3724	照護型機器人：人機互動：智慧型導航：認知機器人：自我學習：物聯網
PB10608-2094	返馳式轉換器：交錯式轉換器：功率因數修正：零電壓切換導通
PB10608-2836	永續都市：都市代謝：源與匯：生態效率：「從搖籃到搖籃」：三重底線
PF10608-0945	護理：復原力：健康：憂鬱：靈性：專業承諾：疲憊
PC10608-1463	癌症免疫療法：可分解乳液：黏膜遞送：腫瘤相關抗原：疫苗佐劑
PC10608-1667	高氧：肺損傷：tn 抗原：免疫：細胞因子：核因子-κb
PB10608-2399	超穎材料：光學非均向性：偏振轉換：雙折射：二色向性以及穆勒矩陣橢圓儀
PM10606-0012	大腸桿菌：食品包裝：食品安全
PM10606-0013	區域創新：政策鏈結：區域產業生態系統
PG10606-0108	室內設計：製圖
PB10608-2393	感應偶合電漿離子蝕刻：氮化鎵：氧化鋅：奈米led：導電性原子力顯微鏡
PF10608-0549	醫療觀光供應鏈：雙邊貿易
PB10608-3743	三維同步定位與建圖：網宇實體系統：合作探勘：三維物件辨識
PB10608-3344	java 處理器架構：多核心架構：智慧計算：opencv 硬體加速：cnn 硬體加速：fpga
PC10608-1460	群眾外包：企業志工：公私合夥：災害監測與調適系統：多準則決策
PF10608-0693	文化：社群媒體：風險量表：風險感知：新媒體：傳統媒體
PB10608-2897	llc：寬範圍電壓輸入與寬範圍電壓輸出：lccll：類三階llc
PC10608-2285	暴力攻擊：環境互動：精神照護：地理資訊系統
PA10608-0514	氣候變遷：赤背松柏根：綠蠵龜：長尾南蜥：能量流動：行為滅絕：壽命：適應：蘭嶼
PB10608-3778	景觀：景觀低階視覺特徵：景觀高階視覺特徵：神經科學：腦區反應
PB10608-2001	k 最近鄰演算法：支援向量回歸：多變量製程管制
PC10608-2072	serpin d1：癌症轉移：anaplastic lymphoma kinase (alk)：syndecan
PB10608-2488	訂單接受：流程型機台排程問題：順序相依整備時間：過去相依整備時間：監督式學習
PB10608-3896	無人車：自走車：控制器：系統建模：行駛穩定度
PC10608-1578	b 型肝炎病毒：核心蛋白質：磷酸化：去磷酸化：磷酸激酶：去磷酸酶
PB10608-2441	電力變壓器：故障診斷：線上溶解氣體分析
PF10608-0845	血液透析：末期腎病：醫病共享模式：性別醫療化：醫學教育：病情告知：醫病溝通
PB10608-2450	巴黎氣候協定：新科技整合：溫室氣體減量：氣候變遷調適：ict產業
PF10608-0494	追劇行為：問題性追劇行為：戲劇轉移現象：認知好奇心
PB10608-3449	丹參：丹參酮：丹參酚酸：心肌保護：超臨界二氧化碳區分
PB10608-3491	晶圓圖：致命瑕疵：製程變動：良率分析：蒙地卡羅模擬：迴力棒圖：瑕疵數
PW10607-0028	智慧水管理：物聯網：大數據
PC10608-1931	護理師：性別：職涯發展：職涯軌跡：留任意願：縱貫性研究
PB10608-2485	使用者導向：情境故事法：triz：矛盾：演進趨勢：效應：設計評估方法
PA10608-0479	蛋白質n-α-乙醯化：n-α-乙醯基轉移酶10 蛋白：高脂肪飲食肥胖：熱生成：米色脂肪細胞
PF10608-0830	遠距聯想：創造力：功能性磁振造影：擴散張量成影：創造思考教學
PB10608-2287	傳統建築：真實性：閒置：拆除：金門國家公園
PB10608-2788	深度學習：深度神經網路：動態規劃：分散式控制
PB10608-1982	相互正交：格雷互補序列：格雷互補陣列：字集：集合
PC10608-1356	頸動脈血栓：微粒子：rt-pa：幹細胞：大鼠
PC10608-1625	骨質疏鬆：活性氧化物質：蛋白酶體：破骨細胞：細胞凋亡
PB10608-3640	放線菌：生物反應槽：攪拌方式：林可黴素：萬古黴素：幾丁質酶
PB10608-2456	交叉流：固態氧化物燃料電池：電池堆：暫態：類神經網路：動態模型
PW10608-0003	再生水：稽核系統：媒合
PW10608-0005	環境信託：水源保育：水質水量保護區
PB10609-0217	穿戴式裝置：物聯網：開源系統：軟體開發套件：應用程式介面：行動細懸浮微粒感測：自主供電
PB10609-0237	資料視覺化：使用者經驗：聖經研究
PC10609-0079	萬古黴素粉末：脊椎骨融合術：術後感染：預防：退化性脊椎病變
PF10609-0127	文化本位：合作探究：排灣族：數學課程模組：數學學習
PG10606-0058	斷層合成：醫學影像
PG10608-0029	全民健康保險：醫療服務：特約管理：醫療服務機構
PB10608-2457	發光二極體：熱特性：效率
PB10608-2114	共平面波導：微帶線：阻抗匹配：導電連通孔：超級紫外光鑽石雷射鑽孔
PC10608-2438	鼻咽癌：化學治療：放射治療：eb病毒：定量聚合酶連鎖反應
PB10608-2983	溫室：氣凝膠：熱塑性聚胺基甲酸酯：複合薄膜材料：隔熱：節能減碳
PC10608-1640	老年：疏忽照顧：專家效度
PC10608-2140	口腔癌：疣狀癌：疣狀增生：切片：免疫組織染色
PB10608-3611	魚腥草：乳酸菌：發酵：泌尿道感染
PC10608-2286	腺甘二磷酸核糖基化因子(arf)：鳥嘌呤核苷酸結合蛋白：鳥糞嘌呤核苷酸轉換因子：胞膜傳遞：蛋白質運送：酵母菌(saccharomyces cerevisiae)
PB10608-2724	電磁散射：逆散射：微波全像術：微波成像：近場
PB10608-3404	fmcw 雷達系統：直接式數位頻率合成器：鎖相迴路：頻率合成器
