PG10605-0085	嗅覺：嗅覺皮質：梨狀皮質：前額皮質：杏仁核皮質：神經元路徑追蹤：輸出神經元圖譜
PF10507-2061	氣候變遷：科學素養：科學溝通：參與式整合性評估：公眾理解科學領域
PD10507-0212	穀胱甘肽：水稻：側根：離層酸：生長素
PD10507-0043	永續農村社區：氣候變遷：水資源供給：暴雨管理：調適路徑：調適服務
PB10507-1487	氣狀汙染物：暫態傳輸模式：多區間建築物：建築物通風：風洞實驗：示蹤劑濃度衰減法
PA10507-1430	永續發展：水資源：氣候變遷
PB10507-2616	地形複雜度：粗糙度指標：光學指標：碎形維度：多因子綜合評價法：數值高程模型
PB10507-3010	生產力4：觸控面板貼合設備：均勻參數設計法：多元回歸：神經網路理論：田口實驗設計法：最佳化演算法
PB10507-0737	橡膠防舷材：紫外光曝曬：靜態/周次行為
PB10507-2923	吸引接觸：邊界元素法：浦松比
PF10507-1023	高績效受害者：個人忌妒：認同威脅：心理集體性：結果依賴性：逢迎行為
PB10504-0130	設計：工程：管理：研發：技術
PB10504-0125	產學聯盟：pm2：5 控制技術：pm2：5 監測技術：技術移轉
PB10504-0187	生產力4：大數據：機聯網：放電加工：電化學加工：雷射加工
PB10507-2398	奈米碳纖維：奈米碳管：石墨烯量子點：鋅空氣電池：電紡技術
PB10507-2867	中風病患：立體鏡射技術：副木：電刺激：復健照護
PF10507-1295	暫停交易：價格限制：公開新聞：交易行為：資訊不對稱
PC10507-0986	中風後之血管性認知功能障礙：塗層血小板：神經發炎：類澱粉蛋白前驅蛋白
PF10507-0637	刑事法學：刑事偵查：槍擊自殺：鑑識科學：槍彈鑑識：槍傷鑑識
PE10507-0209	師博課：設計領域學習者：創意自我效能：創作表現
PA10507-0269	多功能奈米物質：光磁轉換：奈米碳管：微奈米電路：磁性模組原子力顯微術
PB10507-1031	老舊醫院建築：醫療失效模式與效應分析：火災避難與應變策略
PB10512-0039	數位控制：軟啟動：無缝切換：類比/數位轉換器解析度
PF10512-0034	海洋素養：測量恆等性：高中學生
PF10512-0138	基礎工業：跨學科連結數位創新課程：創造思考：探究式教學：推廣教育評鑑
PE10512-0003	知識：宋元：跨學科：工作坊
PF10512-0029	退休人力再運用：供需關係：培訓策略：運用機制
PB10512-0054	根系握裹強度：根系-土壤互制：現地拉拔實驗：土壤含水量：邊坡穩定
PF10512-0052	團隊控制模式：恐懼錯誤人格：資訊交換：創意
PF10512-0107	高瞻計畫：課程評鑑：科技素養
PB10512-0004	熱電特性：量測系統：機台：溫控
PB10512-0059	導電高分子：生物電子界面：有機電化學電晶體：循環腫瘤細胞
PG10503-0038	全球定位系統：可降水量：降雨量
PG10504-0031	客家婦女：女性就業：社會階層：歷史人口
PE10508-0240	鄒語：句法階層理論：大句語氣：肯定句：句法和語用介面
PA10508-0289	骨骼：膠原蛋白：羥基磷灰石：礦化：蛋白質無機物混成奈米結構：多尺度結構及動態協調：互催化
PC10508-0416	黏膜免疫：共生菌：短鏈脂肪酸：骨髓性抑制細胞 (myeloid-derived suppressor cells / mdscs)：調節型t 淋巴球 (treg)：無菌鼠：過敏性氣喘
PC10508-0356	產前類固醇：產前壓力：產後高脂飲食：胰島素：胰島素樣生長因子ⅰ：腫瘤壞死因子α：非對稱二甲基精氨酸
PC10508-0399	膀胱尿路上皮細胞癌：bcl6：foxo3：細胞增生
PC10508-0572	克雷伯氏肺炎桿菌：廣效性乙內醯胺酶：碳青黴烯酶：克雷伯氏肺炎桿菌碳青黴烯酶：kpc-17
PC10501-2129	胰臟神經內分泌瘤：肝臟轉移：外分泌體
PC10501-2084	ａ型流感病毒：人類特有小核糖核酸：抗病毒分子
PC10501-1309	中草藥：肝細胞癌：肝癌幹細胞：血管新生
PC10501-1402	巴金森氏病：自律神經系統：微 rna：發炎反應：氧化壓力：正腎上腺素神經系統：復健治療
PC10501-2378	kisspeptin：性腺激素釋放荷爾蒙：子宮内膜基質細胞：細胞移 動行為：表皮生長因子：pi3k/akt：cadherin：twist：基質金屬 蛋白酶：胚胎著床
PC10501-1993	糖尿病合併腎病變：功能及疾病管理
PB10501-3488	巨量資料：現場可程式化閘陣列 現場可程式化閘陣列
PD10501-0269	克弗爾：自發性高血壓鼠：腦中風型自發性高血壓鼠
PE10501-0372	小米文化：文化資產：文化實踐：參與式行動研究：校園-部落伙伴關係
PB10501-3434	去偏極化矩陣(depolarization matrix)：繆勒橢偏儀(mueller ellispometry)：有效橢偏參數(effective ellipsometry parameters)：非等向性薄膜材料(anisotropic thin film)：生物組織(biological tissue)：表面粗糙度(surface roughness)
PB10501-2240	頻域預編碼：正交頻率多工調變：正交頻率多重存取：單載波頻率多重存取：多輸入多輸出
PA10501-1526	粒狀空氣污染物：自體吞噬：金屬：發炎反應：氧化壓力：石化
PB10501-3137	微影技術：自對準雙重圖案法(self-aligned double patterning)：自對準四重圖案法(self-alignedquadruple patterning)：引導式自組裝(directed self-assembly)：圖案限制：可製造性：可靠性：冗餘導通孔：繞線
PA10501-1459	光譜學：多體效應：第一原理計算：能帶開展：激子效應：bethe-salpeter方程式：arpes：nixs：動態結構因子
PB10501-2388	二氧化碳：二磷酸核酮糖羧化酶/加氧酶 (rubisco)：大腸桿菌：稻稈酒精
PB10501-2493	配電網路規劃設計：配電變壓器選址規劃：花朵授粉行為智能演算法：海豚回聲定位覓食行為智能演算法：磷蝦群聚與覓食行為智能演算法
PC10501-1813	慢性腎臟病：末期腎臟病：存活分析：美兆健檢資料庫：全民健保資料庫：地理資訊系統
PB10501-3250	3d列印：微機電：酸鹼值感測：能量擷取
PC10501-1388	狗尾草：pinitol：streptozotocin：代謝體學：蛋白質體學
PF10501-1983	成人英語學習：自我調控學習素養：學習風格：適性教學
PB10501-2683	神經工程：腦部：神經調控：排尿障礙：神經工程：電刺激：膀胱功能
PC10501-1518	缺氧：氧氣耐受性：缺氧適應性：spns2
PB10501-2939	光電類廢棄物：調濕性能：中孔徑分子篩：循環型社會
PC10501-1638	第二型糖尿病：抗氧化
PA10501-1464	生殖細胞：性別決定：發育：表關遺傳：果蠅
PF10501-1515	補教教學：科學學習興趣：科學素養：嚴肅教育遊戲：教學模組
PC10501-1688	大腸直腸癌：癌症幹細胞：放射治療抗性：mir124
PB10501-2414	電子予體-受體共軛高分子：有機共軛高分子：可見光全波段吸收：結晶性：異質接面
PB10501-2219	無鉛銲錫：高速攝影：銲點剪向衝擊實驗：晶片彎矩破裂應力：有限元素分析
PC10501-1874	β2微球蛋白：類澱粉沉積：椎間盤退化：腎臟透析：髓核細胞
PB10501-3901	虛擬實境：擴增實境：鐵道文化：使用性：數位體驗：花東舊火車站
PB10501-2983	奈米壓印：導膜共振：移相干涉術：生物感測器：光學濾波器
PC10501-1643	身體活動：戒菸：人類乳突狀病毒：及子宮頸上皮內細胞瘤
PB10501-3491	多重電解質偵測：生醫感測器：高介電絕緣層感測薄膜：氧化鋅奈米 柱：奈米複合物：表面鍵結
PB10501-3340	微型直接甲醇燃料電池：電池堆：模組化：甲醇橫滲
PA10501-1390	lhc：cms：二階段運行：物理分析：偵測器升級：es：bpix1：tier-2 格網中心：gpu
PC10501-1870	帕金森病：第十七型遺傳型顯性帕金森病：空泡蛋白分選35 (vacuolar protein sorting 35：vps35)：黑質多巴胺神經元：wnt訊息路徑：突變(d620n) vps35基因嵌入小鼠
PB10501-2642	高分子：多孔吸附材：有機/無機混成：混合基質薄膜：二氧化碳捕獲：富氧化：正電子湮滅壽命光譜
PF10501-1685	溫度衍生性商品：季節性：不對稱非預期效果：一般化自我迴歸條件異質變異數模型：隨機波動度模型
PC10501-2474	異質性萬古黴素抗藥性金黃色葡萄球菌：附屬基因調節系統：meca：psm-mec
PB10501-3355	背向散射：實驗設計法：有限差分時域法：熱輻射性質：隨機粗糙表面
PW10503-0344	等速肌力訓練：髖關節置換術：疼痛
PW10503-0602	多發性骨疣：惡性骨肉瘤：ext1突變
PW10503-0628	過敏性鼻炎：鼻腔內溫度：生物標記：氣喘
PW10503-0636	檳榔萃取物：周邊血液單核球細胞：口腔黏膜下纖維化：發炎：纖維化：肌纖維母細胞
PW10503-0685	rab18：warburg micro syndrome：神經細胞：內質網：神經絲：微小管：精神分裂症：多巴胺
PW10503-0691	化學放射治療：深度定序：食道癌：預測
PW10503-0763	住院醫師訓練：鼻竇解剖：顱底解剖：鼻竇內視鏡
PW10503-0770	微型核醣核酸：上皮-間質轉化：神經膠質母細胞瘤：抗藥性
PW10503-0771	metabolism：mirna：mir-31：oral carcinoma：progression：sirt3
PW10503-0703	大腸直腸癌：異種移植：化學藥物治療：標靶藥物治療
PW10503-0493	坐骨神經損傷：鹼性纖維母細胞生長因子：嗅黏膜先驅細胞：神經保護性用
PW10503-0498	dna損傷：dna依賴性蛋白激酶催化亞單位 (dna-pkcs)：雙酚a：腎臟功能&#63847：老化
PW10503-0527	取皮區：生物敷料：植皮
PW10503-0504	肺動脈高壓：悸動性血行動力學：右心功能：心室動脈耦合：血液內皮前軀細胞
PW10503-0511	椎體壓迫性骨折：膨脹式短釘：有限元素分析
PW10503-0512	硫化氫：孤獨核：心血管疾病：感壓反射
PM10506-0057	製造業：資訊應用：價值鏈
PM10506-0058	策略性製造業：投資：產業升級：生產力4.0
PM10506-0059	緊急應變：工業區：區域聯防
PM10506-0117	軟體採購：檢測標準：雲端
PM10506-0118	服飾：鞋類：袋包箱
PM10506-0119	ic設計：ic製造：ic封測：mg+4c：iot
PM10506-0120	兩岸經濟合作架構協議：臺灣製產品mit微笑標章：行銷資訊分析應用技術體系
PW10503-0460	癌症存活者：懷孕：生產結果
PB10507-3291	去領地化環境風險：風險裝配：網絡化中介管道：破碎化治理：環境風險體制：地下管線爆炸：空中大氣落塵
PB10507-2511	餘甘子：藥用植物：萃取溶劑：植物部位：抗氧化：降血糖
PF10507-0002	大規模開放式課程：磨課師：線上教學準備度：線上學習準備度
PF10507-2135	中國因素：年輕世代：台灣：香港：本土論述
PE10507-0450	致良知：知識：王陽明：牟宗三
PA10507-1324	三維空間：多聯立方體：平面：多聯骨牌：鑲嵌：等差數列
PE10507-0310	美國亞洲協會：中美關係：美商在中國：中國的國際化
PA10507-0537	珊瑚礁：胞內共生：脂肪酸：高效能液相層析：氣相層析質譜：液相層析質譜：脂質體學：轉錄體學：次世代定序：渦鞭毛藻
PB10507-1046	剪力黏結：有限元素法：黏層：最佳使用量
PB10507-2563	二維材料：過渡金屬二硫族化物：異質結構
PB10507-1802	低碳產品：溫室氣體：低碳設計：模糊多準則決策
PF10507-0933	人權機制：兒童權利公約：身心障礙者權利公約：禁止酷刑和其它殘忍：不人道或侮辱之處遇或懲罰公約任擇議定書：國家防範機制：巴黎原則
PB10507-0504	頭戴式顯示器：具有視差之電腦全像：點對點式三維mgsa演算法：視覺訓練：影像評估
PC10507-0922	架構蛋白iqgap1：第三類分泌系統：綠膿桿菌：新生血管：缺氧
PF10507-1630	獎賞/懲罰程序：行為頻率變動性：行為頻率強度：輸赢頻率：部分增強：愛荷華賭局作業
PC10507-1166	人類血清白蛋白：奈米粒子：小干擾rna：抗癌藥物：共同傳送
PB10507-3354	輸出回授：取樣資料系統：順滑模態：奇異擾動：弱藕合系統
PC10507-0956	乳癌：正子造影：[18f]fes：動情激素受體：賀爾蒙治療：個人化癌症醫療
PB10507-2304	鈣鈦礦氧化物光觸媒：溶膠凝膠法：光化學反應器：氫氣
PB10507-1907	夜間交通執勤背心：問卷調查：品質機能展開：triz創新方法
PB10507-1043	閃火點：最低閃火點行為：最高閃火點行為
PA10507-0490	震幅隨展距的變化：非均向衰減：幾何展開：裂缝
PB10507-2642	鉍化硒：奈米線：電晶體
PC10507-0418	抗丙型干擾素自身抗體疾病：自身抗體：抗原決定區：單株抗體：成人型免疫缺乏 症：b細胞選殖
PB10507-3205	數位乳房斷層合成：乳房x光攝影影像：電腦輔助偵測：腫瘤偵測：微鈣化偵測
PB10507-1209	近斷層埋地管線振動台實驗系統：向量式有限元：侵蝕法
PF10507-2131	科技風險：數位科技：通識教育：sherry turkle：人機互動
PC10507-1388	肺癌：病理分型：上皮-間質轉化：轉移：微陣列分析
PB10507-0372	虛實整合系統：數據化：液靜壓軸承：滑塊模組
PF10507-0788	臉書：政治溝通：政治論述：亞里斯多德的語藝策略：線上公民渋入
PA10507-0110	多重物理：序率孔彈性：無網格數值方法：不確定分析：水力試驗
PC10507-1019	認知老化：nmda：生物標記
PC10507-0060	抗氧化劑：脂質過氧化：發炎反應：運動後肌肉損傷：運動後恢復能力：胰島素敏感度：脂肪激素：血液脂質代謝指標：身體組成
PB10507-0266	發光電晶體：電晶體雷射：光邏輯閘：光電積體電路
PB10507-0850	供應鍊管理：價格協商：競爭
PF10507-0012	專利：出口：外資企業
PB10507-1794	牛樟芝：eburicoic acid：葡萄糖運轉蛋白4：腺苷單磷酸活化蛋白激酶：peroxisome proliferator-activated receptor α：脂肪酸合成酶
PB10507-2417	空中三角測量：相機：自率：小波
PB10507-2594	希瓦氏菌：合成生物學：奈米導線：生物產電：酶催化
PB10507-0887	高分子改質瀝青：塑性體：彈性體：苯乙烯-丁二烯-苯乙烯
PA10507-0930	細胞自噬：泛素化作用：atg9：traf6：果蠅
PE10507-0354	上流文化：大眾文化：莎士比亞：馬克吐溫
PB10507-3314	三氧化鎢：奈米柱：異質接面：鈣鈦礦：太陽能元件
PA10507-1107	毛細胞：機械性傳導通道(met channel)：斑馬魚：侧線：鈣離子感應接受器(casr)
PF10507-0942	資源配置問題：公設方法：策略方法：公平正義原則：分階段一致性：一致性：逆一致性
PF10507-0910	地址抽樣：戶中抽樣：抽樣方法：面訪調查
PF10507-2168	精神疾病：死亡風險：治療效益：疾病預防：多層次分析
PB10507-1309	供應鏈敏捷性：模糊德非法：迷糊理論：封閉式網路層級分析法：績效評估
PB10507-1360	開放資料：資源描述框架：語意網：經濟實力：社會發展
PB10507-1053	光纖感測器：馬赫-詹德光纖干涉儀（mzi）：奈秒雷射：透水瀝青鋪面：水位：流量：溫度：結構健康監測
PB10507-3011	低溫：鋰離子電池：黏著劑：添加劑：固態電解質界面：中子
PB10507-1363	有用性：消費者與品牌參與度：品牌應用程式：依賴型/獨立型自我構念：實用主義
PB10507-3118	三維積體電路：三維晶片：通道集中器：良率：修復率：内建冗餘分析：容錯：矽穿孔：矽載板：連線：内建自我測試：内建自我修復：内建自我繞線：可靠度：錯誤更正碼：即 線修復
PC10507-0115	雙重標靶抑制劑：抗癌藥物研發：藥理機轉
PB10507-2045	機器學習：編碼頻寬：高效能視訊編碼：超大型積體電路架構
PB10504-0135	永續綠色科技：創新設計聯盟：垂直產業鍊：跨域異業結合：綠色產業聚落
PB10504-0186	生產力4：物聯網：雲端運算：巨量資料分析：虛實整合系統：全自動虛擬量測：先進製造：凸塊製程：良率提升與確保：因果關係：零缺陷：工業4
PB10504-0147	貝爾蒙論壇：多邊協議研究行動方案：全球變遷研究
PF10504-0035	美中關係：網路戰略：網路安全：避險戰略：大國競合
PB10504-0173	電子商務：產學合作：經營模式：創新應用
PB10504-0128	生質能：污染防制：小聯盟：節能減碳：生質燃料：永續發展
PB10504-0182	工業4：模具製造/成型：知識管理：雲端運算：本體論：語意網
PF10504-0031	生物技術：醫藥：轉譯醫學研究：臨床前試驗：臨床試驗：新藥開發：產業化
PE10507-0001	中國職場小說：成長小說：中產階級：中國崛起
PA10507-1048	寬頻觀測：紅河斷裂帶：三維地殼及上部地函剪⼒波速度構造：板塊間相互作⽤：gps觀測
PB10507-2995	手持式行動裝置：高齡：操作績效：主觀偏好
PB10507-0820	車輛途程問題：啟發式演算法：多趟次：零擔貨運
PB10507-3352	水下電子應用：多核心：系統晶片：容錯機制：系統匯流排監測
PF10507-2107	商管教育：國際化：國際教育：現象圖學法
PB10507-0704	超音波：創傷性腦損傷：神經滋養因子：血腦屏障：腦水腫
PB10507-2224	滾動式供應鏈排程：進料批量：生產批量：交運批量：基因演算法
PB10512-0021	大面積奈米結構：熱壓機：沖壓機和封裝技術
PF10512-0037	高職：電機科：數學課程：專業科目
PC10512-0017	燒傷：疼痛：細胞發炎因子：脂肪幹細胞：嘌呤接受器
PB10512-0024	視角分割型均光系統：面積分割型均光系統：透鏡陣列系統：均勻度
PF10512-0143	高瞻計畫：課程研發：新興科技：創客運動：跨學科課程
PF10512-0133	臍帶血：幹細胞：衛生政策
PC10512-0001	脊髓損傷：疼痛相關醫療費用：死亡率
PA10512-0007	載子遷移率：共軛有機聚化合物：電荷傳輸模擬
PE10508-0294	客語故事：敘事結構：內容-形式整合：整體-類別整合：知識基模：文化約制
PE10508-0441	同儕回饋：決策過程：回饋處理：第二語言寫作
PC10508-0369	免疫治療：腫瘤微環境：循環腫瘤細胞：化療抗藥性：卵巢癌
PE10508-0230	文言：語譯：語內翻譯：學科：專業化：條例
PE10508-0380	非同步同儕校改：同步自我批改：句子複雜性：文法正確性：用字縝密性：英文寫作表現
PG10508-0043	低溫保健：健康識能：健康傳播
PA10501-1516	張量網絡演算法：多導線接點：超冷原子：合成規範場
PD10501-0360	飲食誘發肥胖：代謝症候群：代謝健康型肥胖：粒線體功能：心包脂肪：心肌病變
PB10501-4063	奈米流體：兩相模型：過渡現象：内邊界處理
PC10501-2528	ev71：肺水腫：il-12：tlr9：腦幹
PC10501-2316	介白質一號亞型受體ii：促炎細胞激素：轉錄活化：介白素-6：血管內皮生長因子：血管新生：藥物抗性：生物指標：大腸癌
PB10501-2377	塑膠廢棄物：裂解：流體化床：產氫：熱化學轉換：奈米碳材料
PB10501-4163	吸收式冰水主機：性能係數：能耗：製冷
PA10501-1202	活動構造：板塊邊界 帶：地震 與海嘯災害：地表作用：東亞及南地區：臺 灣
PC10501-1604	退化性關節炎：areg：滑膜纖維母細胞：mmp13
PC10501-2015	乾癬：嗜中性白血球胞外網：抗菌胜肽ll37：介白素-17：細胞激素
PB10501-2441	矽量子點：量子侷限效應：超高密度矽量子點薄膜：氧化鋅薄膜：光伏效應
PB10501-3185	單模態掺鉻光纖：300-nm超寬頻光纖放大器：100-μm微型光纖雷射感測器
PF10501-1568	產學合作：學術參與：商業化：價值共創：價值評估
PE10501-0427	傳統工藝：聯合國教科文組織卓越工藝獎：社群：永續發展：無形文化遺產
PF10501-2487	醫療輻射防護：醫護保健：科普知識
PB10501-2354	中繼協助網路編碼：無線網路：第五代行動網路
PC10501-2093	前庭誘發眼肌電位：前庭誘發頸肌電位：小腦橋腦角腫瘤：前庭神經鞘瘤小腦橋腦角腦膜瘤
PC10501-2155	食道鱗狀上皮細胞癌：合併化放療：dna甲基化：生物指標：sox17
PB10501-3688	線切割放電加工：多晶鑽石：油加工液：放電電源：微銑刀
PB10501-4006	燃料電池：高分子：可撓曲
PF10501-1497	資料包絡分析：效率：網路系統：層級系統：動態系統
PF10501-1927	回報：恩惠：感恩：幫助：虧欠
PB10501-3954	先進材料：壓電材料：奈米薄膜：水聽器：聲學傳感器：水下應用：有限元素法
PE10501-0386	台灣：認同：出賣：台美小說：亞美文學：島嶼敘事：跨國美國研究：美國帝國主義：太平洋島嶼研究
PC10501-2461	n-methyl-d-aspartic acid (nmda)受體：d-胺基酸氧化酶：d-胺基酸氧化酶抑制劑：臨床前試驗：rs-d7：衍生物
PC10501-1885	b型肝炎病毒：b型肝炎疫苗：免疫記憶：青少年：人類白血球抗原
PF10501-1656	fresenius：分析化學：化學闡原：化學考質：化學求數
PC10501-2379	代謝症候群：心房顫動：cd44：心房纖維化：鈣調蛋白激酶
PB10501-2733	工業廢料：重金屬：太陽能電池：生物濕法冶金
PF10501-2187	作者：作者序：論文計次：並列第一作者：並列通訊作者：超級作者：多機構作者
PB10501-2990	熱電材料：熱壓接合法：硬銲法：奈米銀膠燒結：固液擴散接合法：擴散阻障層：界面反應
PC10501-1909	c 型肝炎病毒：微小rna：肝細胞：單核球細胞：調節性t 細胞：鐸受體7/8
PB10501-2932	毒性有機污染物：金屬：廢食用油：生質丁醇：丙酮：發電機
PF10501-2541	教師專業發展：stem課程：高層次思考能力：自我效能
PB10501-2976	正創造：創造力管理：設計方法：服務創新：意術力加值
PF10501-2333	韋伯：士人：晚清教案：廟產興學：孔教會
PA10501-0821	奈米尺寸生物膜：脂單層奈米尺寸生物膜：脂單層奈米尺寸生物膜：脂單層奈米尺寸生物膜：脂單層奈米尺寸生物膜：脂單層微脂體：微脂體：支撐性磷脂類薄膜：奈米粒子：生化感測技術
PB10501-2604	氧氣還原反應：氧氣析出反應：雙功能觸媒：導電奈米載體：原子層沉積
PC10501-1587	食道鱗狀細胞癌：腎素-血管收縮素系統：血管收縮素 ii：血管收縮素 1-7
PC10501-2325	胰臟神經內分泌瘤：磷酸酯酶與張力蛋白同源物(pten)：抑制哺乳動物雷帕霉素靶蛋白(mtor)
PF10501-1856	新素養：多重素養：多模組：讀寫素養：數位素養：媒體素養：批判素養：語文教育：活動日誌：訪談：問卷調查：課程設計
PC10501-2078	介白質-6：乳癌：上皮間質轉化：src蛋白：fak蛋白
PC10501-1365	基層醫療照護系統：家庭醫師整合性照護試辦計畫：論人計酬試辦計畫：山地醫療給付效益提升計畫：結構：能力：動機：結果
PB10501-3131	核能電廠：除役：放射性除污：雷射技術：即時影像分析：雷射追蹤
PB10501-2926	鄰苯二甲酸二(2-乙基己基)酯：鄰苯單甲酸二(2-乙基己基)酯：大腸癌致癌物dmh：大腸癌：生殖功能：亞慢性暴露：體外試驗
PC10501-2036	黏合型g蛋白偶合受體：細胞毒殺：自然殺手細胞：免疫調控
PC10501-1879	陰道鞭毛蟲：轉錄體：蛋白質體：鐵反應元件/鐵調節蛋白質
PF10501-1690	文化差異：盈餘保守性：裁決性應計選擇：會計師選擇
PF10501-2493	詞彙語意網路：功能性核磁共振造影：四字格成語：語⾔言神經網路模擬
PB10501-3877	電力品質干擾：頻域分析方法：諧波/間諧波：電壓閃爍：電壓驟降：電壓驟升：微電網
PF10501-1439	視覺搜尋：顯著性：知覺組織：輪廓整合：知覺填整
PE10501-0584	荷蘭明鄭時期臺灣戲劇：清代臺灣戲劇史：日治臺灣戲劇史：新劇：歌仔戲
PE10501-0406	僧肇：吉藏：中觀：語言：實相
PC10501-1928	nrip：肌肉萎縮：肌肉再生：幹細胞：腺相關病毒基因治療
PA10501-1334	電活性高分子：人工仿生模板：微奈米結構：防腐蝕：生物支架材料
PE10501-0580	巡按御史：朝覲考察：巡撫：地方社會：公議
PW10503-0346	病人安全：不良事件：全面觸發工具：資訊倉儲
PW10503-0629	腦瘤：認知功能：身體經驗
PW10503-0650	內毒素血症：靜脈系統失調：腹水：全身體液增加
PW10503-0655	慢性阻塞性肺病：生物標記：心血管意外事件：阻&#63852：性睡眠呼吸中止症：重疊症候群
PW10503-0708	結腸癌：化學治療
PW10503-0713	門脈高壓：消化性潰瘍：非選擇性交感神經乙型阻斷劑：氫離子幫浦阻斷劑
PW10503-0764	米諾環素：酸性纖維細胞生長因子：運動神經元：活化轉錄因子3
PW10503-0697	早發型龐貝氏症：肌電診斷
PW10503-0700	發炎性腸道疾病：生物標誌物：糞便鈣衛蛋白：登錄
PW10503-0780	3d列印：快速成型：全口假牙：牙科材料：光聚合樹脂
PW10503-0515	脂肪肝：非酒精性脂肪肝：非酒精性脂肪肝炎：麩胺基硫過氧化酶：基因變異
PW10503-0520	肺癌：疾病共在：焦體團體：反身性：現象學
PW10503-0574	c型肝炎病毒：c型肝炎病毒細胞培養體系：c型肝炎病毒次基因複製子系統：hcv假性病毒顆粒：植物萃取出之純化合物
PW10503-0575	智慧醫療復健：鞋墊：長短腳
PW10503-0577	安寧療護：共同照護：存活時間：體能狀態
PW10503-0582	低體溫：全身麻醉：腹部手術：暖照燈：吹風式保暖機
PW10503-0590	磁振造影：磁振頻譜：頭痛：腦幹：中腦：視丘：伽馬－氨基丁酸
PM10506-0060	傳統產業：自主研發：研發補助：產品開發：產品設計：研發聯盟
PM10506-0061	資訊服務業
PM10506-0121	中堅企業：升級轉型：產業結構優化
PM10506-0122	資通訊材料：功能材料：光電材料
PM10506-0124	台日：產業合作：產業推動
PG10508-0064	大氣氣膠：大氣汞：大氣輻射：降水化學：微量氣體
PG10509-0110	氣渦輪機：等效運轉時數：排程
PG10511-0049	性健康照護：態度：知識：自我效能
PG10512-0071	牙科：治療椅：植牙：引導系統：智慧型：治療：訓練：4d
PG10512-0002	東沙環礁：海底地震儀：底質剖面儀
PG10601-0184	綜合溫度熱指數：氣候變遷：熱危害暴險感測：預警系統
PG10601-0162	乳牛飼育場：職業衛生
PF10507-2007	護理學生：文化照護能力：課程：核心能力
PC10507-0082	抗癌藥物：心臟毒性：分子標靶治療
PB10507-0940	河床沖淤變化：堤基沖刷：動態量測技術
PC10507-1065	氣喘/呼吸道過度反應/衛生假說/自然殺手t：細胞/調節性細胞亞群
PB10507-2597	高分子發光二極體：電子注入/傳輸：螯合基團：4-噁二唑：4-三唑：5-三 嗓：苯並味唾：二胺四乙酸：希夫驗
PF10507-0340	科技認識論：智慧電網：離岸風電
PB10507-2245	高溫型質子交換膜燃料電池：金屬雙極板：觸媒毒化：電化學阻抗：性能衰退
PB10507-0462	效用：連結允入控制：壅塞價格：保護通道：細胞式網路：收益：放棄機率
PF10507-2076	角色義務：師生倫理：師生關係：儒家關係主義：權威取向
PF10507-2222	調節焦點：領導-成員交換關係：努力行為：社會賦閒
PB10507-0572	衛星定位測量：光達：鹿場：大規模崩塌區：災害調查
PC10507-0550	多元族群：女性：性別差異：口腔癌：存活照護計畫：復原力：照顧負荷：社會支持：生活品質
PF10507-1197	社區：環境：復原力：失能老人：福祉
PB10507-2527	漸凍人：輔助式情境感知工具組：腦控：情緒溝通：文字預測：語音合成：生活溝通板
PF10507-0736	民主理論：自由的國家中心主義：肯定性分裂：國家法：國家的倫理理念
PF10507-1765	能力：合作：績效：知覺落差：母子公司關係
PF10507-1312	遞延所得稅資產：股東可扣抵稅額：未分配盈餘加徵10%稅額：ifrs：企業價值
PB10507-0405	往復虹吸管：導流噴嘴：沸騰冷凝熱傳：活塞冷卻
PE10507-0516	評點：文勢筆勢：體勢：氣文 法唐宋古
PF10507-0235	交易成本：校務治理：校務研究：關係資本
PC10507-1171	孕產期憂鬱：心理幸福感：嬰幼兒發展落後：父親參與：家庭環境
PA10507-1368	磁性奈米結構：熱傳導：熱擴散：磁子
PA10507-1111	兩階段最大概似估計：加速衰變實驗：無用參數：共變異矩陣
PF10507-0842	顧客管理：顧客終身價值：clv：大數據分析：預測性模型建構
PA10507-1329	cayley 變換：橢圓偏微分方程式：張量乘積：線性系統：張量
PF10507-0057	科學學習：非制式：生態系統：stem：原住民族：師培生：多元文化：科學素養：科學能力：科學興趣
PB10507-1224	屏東平原：地層下陷：地下水資源
PC10507-0102	突變熱點：癌症基因體：次世代定序：生物資訊：資料庫
PA10507-0948	carbonyl oxide：water cluster：hydrogen transfer reaction
PF10507-0138	嘉姆：批判教育學：唯物主義教育學
PB10507-0094	仿生視覺：液晶透鏡陣列：移軸液晶透鏡
PE10507-0279	梁啟超：南社：同光體：啟蒙：革命：遺民：近代文學史
PB10507-2516	高純度異丁烯：甲基第三丁基醚之合成與裂解：反應蒸餾：年總成本：最適化設計與模擬
PC10507-0223	腦中風病患：便秘：穴位按壓：腹部按摩：中醫
PF10507-1751	參與式共管：觀光治理：排除式典範
PB10507-0688	碳奈米管：石墨烯微片：環氧樹脂：奈米複合材料：破裂韌性：疲勞裂縫成長速率：應力強 度因子：加強機制
PF10507-0207	中國：全球化：奧運會：政策：武術
PC10507-0977	動物模式：慢性壓力模式：高血脂症：老年期憂鬱：statin 藥物：白質損傷
PA10507-1277	雙量子點：共平面波導共振腔：量子躍遷選擇律：電磁波誘導穿透
PF10507-1446	社會共識：教育：經濟成長：就業：景氣循環
