PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PE10807-1844	動詞連用形：構詞學：語意學：句法學：接頭語：文法化：多義性：語料庫：語意類似性：語意稀薄化：衍生詞：日語教學
PB10807-6796	土地使用規劃：氣候變遷減緩與調適：綜效：共效益與權衡：感受性系統模型
PE10807-1846	陽明心學：薩提爾理論：王陽明：王龍溪：李卓吾
PC10807-3249	第二型雙極症：memantine：神經退化：認知功能：發炎
PF10807-4831	林豪：林豪手抄本：澎湖：文石書院：科舉
PD10807-0578	縮水甘油醇：縮水甘油酯：2a致癌物：食用油：配方奶粉：雙酸甘油酯：總極性物質：油脂氧化：油脂加工：壓榨油：米糠油：暴露量：風險評估：aocs cd 29c-13：亞臨界水：米糠醇
PC10807-3372	腹主動脈瘤：重組cd93蛋白凝集素功能區：巨噬細胞發炎：血管平滑肌細胞：表型轉變：藥物治療
PA10807-3241	奈米生物材料：分子動力學模擬：水的純化：仿生材料
PB10807-6992	生成對抗網路：文句產生：語音合成：階層式音韻模型
PF10807-4940	價值共創：服務主導邏輯：生態系統：制度：社會物質實踐：質性研究
PA10807-3090	代謝：代謝機制：代謝動力學：金奈米團簇：半胱氨酸：血紅蛋白：螢光：生物相容性：活性氧物質：光合成生物混合系统
PC10807-3151	動靜脈廔管：血液透析：新生內皮增生：內皮細胞間質轉換：肌成纖維細胞
PF10807-4715	漣漪效果：滾動窗口：時間變動：一線城市：頻率分析：房地產市場：租屋市場：區塊加總
PB10807-6677	引導骨再生：電紡絲：奈米纖維：無機奈米粒子：奈米線：結冷膠：生物反應器
PF10807-8798	超音波測溫：熱線風速計：電流源：電壓源：電錶：arduino電子元件
PE10807-1807	翻轉教學：哈克尼斯圓桌討論：學術會話/討論技巧
PA10807-3091	poisson-nernst-planck系統：穩態解：穩定性：幾何奇異擾動
PA10807-3100	極端氣象：年長者：孕婦：勞動力：性別分析
PB10807-6685	綠視率：綠覆率：街道景觀：街道綠化：地理資訊系統
PB10807-6665	防淤隧道：磨耗：混凝土：閘門開度：含砂水流
PC10807-3141	β細胞：糖脂毒性：mir-302：mst1：pdx-1
PB10807-6666	敗血症：內毒素移除：多黏菌素b：聚砜(psf)：微管陣列薄膜(mtam)
PE10807-2438	三聲變調：語言習得：隱性對比：心理語言學
PB10807-8306	調諧質量阻尼器：慣質：儲能：多功能減振系統：振動台試驗
PB10807-8624	自然語言理解：語句嵌入：注意力模型
PF10807-6241	選擇權資訊交易(informed options trading)：公司創新產品宣告(new product announcements)：隱含波動度利差(iv spreads)：隱含波動度偏離(iv skews)：選擇權/股票相對交易量比率(o/s ratios)
PF10807-6012	腦震盪後症狀：心律變異度：衛教：療效研究：長期預後
PB10807-8646	齒顎矯正：飛秒雷射：電漿聚合：雙疏：疏水及疏油
PG10802-0012	禽流感：禽畜相關工作及動物防疫人員：血清學監測
PF10807-6309	數學教師情緒：教學實務知識：生態系統論：詮釋現象學
PC10807-4228	急性腎損傷：慢性腎臟病：急性腎損傷進展成慢性腎臟病：腎臟纖維化：血管旁細胞：腎素-血管收縮素系統：表觀遺傳學
PF10807-8804	幼兒科學繪本：幼兒園教保服務人員
PB10807-8680	類生死過程：矩陣幾何解：再嘗試隊列模型
PF10807-6426	併購：企業社會責任：人才流動
PF10807-6425	買賣方力道：變幅波動模型：波動性外溢
PF10807-6318	技術分析：機構法人持股：公司市值：報酬波動：投資人過度自信：放空限制
PB10807-8750	機器學習：電腦圖學：街景圖片：路徑推薦：非擬真成像：導覽動畫
PC10807-4245	軟組織肉瘤：atrx：染色體不穩定：dna修補：有絲分裂
PA10807-4135	矽藻：多胺：胺丙基轉移酶：合成生物學：基因編輯
PE10807-2548	電子遠距合作：多模分析：活動理論：小組運作：跨文化效能：視訊：外語學習
PF10807-6597	語言機器人：英語學習：角色扮演：任務式學習：學習焦慮
PB10807-8925	晶圓製造：單片多反應室機台：生產排程
PC10807-4322	口腔癌：外泌體：紫杉醇抗藥性：長鏈非編碼rna：人免疫系統（his）患者衍生的腫瘤異種移植物（pdtx）小鼠模型系統
PF10807-6553	年齡：探索–利用：非家族高階主管：人力資本
PG10806-0169	微觀組織：超臨界鍋爐
PG10812-0275	環境害蟲：市售殺蟲劑：藥效檢測：抗藥性
PG10809-0030	電力發展：環境保護：能源教育：生活環境：永續發展：能源暨環境教育：發電廠：全球暖化
PB10801-2164	衛星反應輪：永磁馬達：向量控制：變頻器
PG10802-0358	機能性紡織品：縫製技術：併縫：無縫貼合：導模縫製
PG10801-0288	電價調整機制：台電營業規章：電業法：輸配電費率：累進電價：需量反應：輔助服務：時間電價
PG10801-0087	金門：鳥類：生物多樣性
PB10804-0050	鋅空氣電池：雙效觸媒：耐久性
PE10807-1732	康熙：雍正：江戶幕府：長崎：鎖國：中日關係
PB10807-6459	可重新組態運算系統：硬體管理單元：軟硬體協同工作：機器學習：卷積神經網路
PG10802-0316	物聯網：物聯網標準驗證：物聯網檢測：軟體測試自動化：效能測試：互通性測試
PG10803-0216	老化：肌少症：松杉靈芝
PG10801-0420	溫室氣體減量：節能減碳：氣候變遷：階段管制目標：能源部門溫室氣體排放：節能減碳技術服務團：巴黎協定
PG10801-0565	優良查驗登記管理：法規科學訓練卓越中心：優良審查規範：優良送審規範：東協：新南向：藥政：性別
PA10805-0007	小分子抑制物：蛇傷潰爛：磷酸二酯酶：5端核苷酸水解酶：槲皮素：急救外敷
PC10805-0022	台灣產植物：內生菌：代謝物：指紋圖譜：化粧品
PD10805-0008	戴奧辛(pcdd/fs)：類戴奧辛多氯聯苯(dl-pcbs)：高解析度氣相層析/高解析度層析儀(hrgc/hrms)：化學活性螢光基因表現(calux)：高解析度氣相層析儀串聯式三段四極桿質譜儀(gc-(qqq)ms/ms)：快速篩檢法：食品檢測
PB10805-0031	微藻減碳：藻種改良：葉黃素：固碳作用：光生物反應器：生物質
PG10803-0041	物質成癮：成癮戒治：治療性社區
PG10803-0046	思覺失調症：ampa受體：基因突變：標的定序法：轉譯醫學
PG10803-0045	情緒勒索：酒精使用障礙症
PG10803-0247	知識密集服務業：群聚推動：創新服務：科技應用：資源整合
PB10807-6482	乾旱：標準化降雨指標：標準化蓄水量指標：機器學習法：隨機森林：支撐向量機
PC10807-3028	白色念珠菌：dbf4依賴的cdc7激酶：形態發生：致病力：環境信號：基因毒性壓力
PC10807-3021	全人工髖關節置換：tranexamic acid：術後總失血量：floseal
PB10807-6484	射出成型：多模穴流道系統：充填平衡元件：充填不平衡：冷料井：混合器：熔膠翻轉技術：電腦輔助工程：田口法
PC10807-3040	介白素36：ampk：膿皰：乾癬：角質細胞：發炎
PC10807-3050	氧化鋯：矽酸鈣：植體：全瓷復形體：抗菌活性：骨形成性
PG10804-0275	智慧先進車輛：自動駕駛車輛：車輛法規
PF10807-4547	大規模線上開放式課程 (moocs：磨課師)：解剖學教學：知識地圖：學習概念診斷
PB10807-6501	懸吊式設備：消防管線：耐震分析：大型實驗：震動台
PB10801-1249	社會網絡科技：資訊系統使用：注意力：認知行為：社會資本：幸福感
PD10807-0554	有螫類：獨棲蜂：蜾蠃：切葉蜂：生態系服務
PF10807-4590	金融開放：風險與銀行生產力-跨國資料分析
PF10807-4567	數學教育：資訊科技：合作學習：自造者：geogebra
PA10807-3018	費米伽瑪射線太空望遠鏡：多波段觀測：致密星體：新星爆炸：加速粒子
PB10807-6728	推薦系統：階段基準式推薦：階段感知推薦：序列感知推薦：循環神經網路：循序樣式探勘：廣義循序樣式：序列分類
PB10807-6730	三維百葉窗擾流器：核心流擾動：蛇形熱交換器：質點影像測速：紅外線熱像儀：壓力感測器
PE10807-1820	行動導向式教學法：神經語言學教學法：習得：教學策略：教材
PF10807-4736	政治關係：制度理論：社會資本理論：社會企業績效
PA10807-3120	硼中子捕獲治療：部份去保護：色胺酸：存活率分析：感應耦合電漿質譜術
PB10807-6757	水膠：水合：交聯：表面能
PC10807-3200	耳組織工程：軟骨細胞膜片：生長因子
PG10803-0178	地球物理探勘：地球化學分析：水文地質圖
PB10807-6758	微服務：微服務架構：微服務相依圖：資訊視覺化：微服務重用：微服務測試：微服務監控
PC10807-3247	急性胃腸炎：輪狀病毒：輪狀病毒疫苗：全基因組定序
PB10807-6820	深層崩塌：淺層崩塌：土石流：砂箱試驗：理論模式：數值分析
PB10807-6807	電子減速電極：稀磁性氧化物：綠光發光二極體：磁控濺鍍：外部量子效率
PA10807-3157	端口漢米爾頓系統：狄拉克結構：拉格朗日子空間：保結構演算法：基本代數結構
PB10807-6937	多尺度表現設計：簡括化：瞳位追蹤：視覺化
PA10807-3213	動態系統：雙黑洞問題
PA10807-3214	超級細菌：光動力療法：薑黃：奈米複合材料：血竭：豬皮膠原蛋白膜
PE10807-1882	東澗詩法：虞山詩派：錢謙益：錢曾：二馮（馮舒：馮班）：陳寅恪
PB10807-6682	術後照護：復健醫療：步行復健：行走軌跡：行走速度：調頻連續波雷達：多輸入多輸出雷達：虛擬陣列：陣列校準：室內定位
PC10807-3153	b型肝炎病毒：肝細胞癌：腸道菌相：基因轉殖鼠：高脂食物
PC10807-3139	冠狀動脈心臟病：連續性照護：生活品質
PA10807-3099	核磁共振：三度空間結構：抗菌胜肽：抗生素：抗藥性：新藥開發：分子機制
PA10807-3098	傾向分數：共變數平衡：殘插平衡：變數選取：高維度模型：鑼輯斯迴規
PB10807-6664	ph感測器：濕式蝕刻：矽角錐：奈米線：雙重粗化：微縮化參考電極：奈米碳管
PB10807-6663	栓塞療法：黃原膠：免疫促進：rooibos：chrysoeriol
PC10807-3140	長非編碼rna-crnde：細胞自噬：歐力普抗藥性
PC10807-3149	碳青黴烯耐藥克雷白氏肺炎桿菌：腸道菌相：aom-dss腸炎小鼠模式
PF10807-6233	價值共創：價值獲取：競合夥伴關係：社會不確定性：詮釋不確定性
PB10807-8303	數位影像相關法：近紅外：螢光：軟組織：器官：變形：應變：靛青綠
PB10807-8307	奈米線生醫電晶體：半導體感測晶片：生物電子：生醫感測：生物分子：細菌：細胞：異質系統介面：頻域雜訊量測技術
PA10807-3865	電脈衝飛行時間：載子散射：形貌控制：電子結構動力學
PC10807-4206	組蛋白甲基化：核黃素單磷酸：代謝和染色質調節：dna 複製
PB10807-8625	有機鈣鈦礦：電阻式記憶體：光感測器：雙功能元件：胺基分子
PF10807-6242	新南向政策：資歷架構：技職教育訓練：馬來西亞
PF10807-6014	隨機波動度：跳躍風險：流動性風險：變異數風險溢酬：流動性風險溢酬：報酬率預測能力：自我激勵跳躍叢聚：跨市場流動性傳染效果
PF10807-6013	台灣煤礦業：煤礦工人：包工制：剝削：道德經濟
PB10807-8648	倒塌建物破壞模式判定：救災：數位影像相關係數法：加速穩健特徵演算法(surf)：特徵點：空中攝影測量：飛船
PB10807-8716	深度學習：人工智慧：瑕疵檢測：數位影像處理：電腦視覺
PB10807-8711	國土計畫：基本人權：公共利益：土地徵收：因開發而導致迫遷
PF10807-6303	個人網絡：三者關係：性別：生命循環
PF10807-6380	技術勞工：借貸成本：留才：勞工調整成本
PB10807-12777	先端功能性多元高分子複合材料：新穎四元高分子複合材料：氮化硼衍生物：生物可分解高分子：結晶特性
PA10807-4061	氧化還原探針：奈米金：奈米複合材料：電化學感測平台
PC10807-4320	阿滋海默症：類澱粉蛋白：奈米金：人類神經幹細胞：3d生物列印機
PF10807-6550	職涯停滯：晉升停滯：工作內容停滯：後設分析
PA10807-4115	動植物交互關係：氣候暖化：乾旱：食性關係：營養階層：植物：草食性動物：獵食性動物
PF10807-6601	貿易：技術：創新：專利
PB10807-8930	插值影像：可逆式資訊隱藏：中間對折：自適應門檻值
PD10807-0775	l-阿拉伯糖異構酶：l-核糖異構酶：l-核酮糖：高細胞密度培養：固定化：無內毒素
PF10807-6372	馬可夫狀態轉換：cholesky garch：期貨避險：最適避險比率
PF10807-6374	非處方藥：藥病共享決策：諮詢服務：社區藥局：新進藥師訓練：藥學經驗教學課程創新
PF10807-6555	營業祕密：研究發展：併購：銀行往來關係
PE10807-2540	模態性的形上學：必然論與適然論：相互一致性：高階量限模態邏輯：浮脹常元：理解原則
PF10807-6558	競合動態：長期導向：生物科技產業
PA10807-4128	霧水攔截量：大氣穩定度：散射輻射：上坡霧：反演模式
PE10807-2549	蕭紅：晚期風格：香港時期：絕境
PA10807-4133	寬頻觀測：紅河斷裂帶：三維地殼及上部地函剪力波速度構造：板塊間相互作用：gps觀測
PB10807-8931	紫菜：酵素輔助水解：生物精煉：藻紅蛋白(pe)：血管收縮素轉化酶 (ace)活性抑制胜肽：藻渣：動物飼料保健添加物：乳酸菌：苯乳酸 (ph-la)
PC10807-4319	肌肉量：老化：最大吸氣壓力：呼吸肌肌力訓練：身體表現
PB10807-8965	深層靜脈栓塞：穿戴式裝置：反射式光容積描繪技術
PG10807-0041	5g：底價：競價機制：網路共建：管理規則
PA10807-2959	貝他多樣性：群聚建構規則：森林動態：台灣梅花鹿：喀斯勒森林
PA10801-0837	軍陣醫學：周邊血單核球細胞：誘導幹細胞：再生醫學：明膠：止血凝膠：細胞層片
PA10802-0011	地球科學研究規畫與推動：地球物理學
PG10803-0198	時頻校核技術：國家時間同步服務：國家時間頻率標準
PG10802-0397	抗精神病藥：全基因組關聯分析：第二型糖尿病
PG10802-0392	角色模範：職涯選擇：學習歷程：醫學教育
PG10802-0398	內乙醯胺酵素：抗藥性：碳青黴烯類抗生素：抗藥質體：鮑氏不動桿菌
PB10804-0066	沙崙智慧綠能科學城：綠能科技聯合研究中心：綠能科技示範場域：中央研究院南部院區：智慧綠能循環住宅園區：大臺南會展中心
PG10803-0231	末期腎臟病患：輸血：同種異體免疫
PG10803-0241	節能減碳：溫室氣體排放：決策支援系統：運輸部門
PF10807-4496	主動控制：幼兒情緒發展：後設情緒理念：情緒社會化
PA10807-2977	合成碼：線性碼：對稱差集
PG10805-0143	智慧：健康：據點：城市：促進：運動：飲食
PG10805-0142	新藥臨床試驗：多國多中心藥品臨床試驗計畫申請案：臨床試驗結案報告：臺灣藥物臨床試驗資訊網
PE10807-1743	氣思維：魏晉南北朝：佛教文化：三教交涉：身體觀
PG10802-0046	茲卡病毒：酵素免疫分析法：免疫色層分析法：登革熱：屈公病
PG10806-0140	脫硫廢水：零排放：薄膜
PG10802-0050	腸病毒：呼吸道病毒：流行型別：基因資料庫
PC10805-0001	急性呼吸窘迫症候群：急性肺損傷：敗血症：內皮細胞：肺水腫：內皮間質轉化
PC10805-0002	婦癌存活者：害怕癌症復發：疾病不確定感：訊息需求：生活品質
PA10805-0001	基因體學：種化：物種界定：遺傳滲入：型態適應
PC10805-0037	乳癌：中藥新藥
PC10805-0006	新型口服抗凝劑：心房顫動：栓塞風險：中風：腸胃道出血：副作用：精準醫療：個人化：藥物基因體學：藥物基因檢測晶片
PG10802-0269	維新傳產：材料加值：製程加值：產品加值：基盤加值
PC10807-3029	皮質酮：憂鬱症：肝源類纖維蛋白 1：胰島素阻抗：下視丘-腦垂腺-腎上腺軸
PB10807-6491	連續螞蟻群優化：多目標優化：多目標進化演算法：分解
PF10807-4545	遷移動機：生活型態：永續發展
PF10807-4535	價值共同破壞：消極情緒：渴望復仇：服務補救：負面ewom
PA10807-3003	酸敏性離子通道：語言學：機器學習
PG10804-0216	數位科技：民間消費
PG10912-0060	兩棲：蝌蚪：生物多樣性
PB10807-6509	多功能視頻編碼：編碼單元：預測單元：低複雜度：畫面內預測
PF10801-0765	生物多樣性：科學桌遊：遊戲式學習：環境議題
PF10807-4565	金融壓力指標：經濟政策不確定性指標：國際股票市場循環關聯性：混合型copula：馬可夫過程：跳躍過程
PC10807-3179	自體免疫糖尿病：t細胞：轉錄因子：小泛素化修飾：腸道菌相
PC10807-3183	胰臟癌：口腔微生物體：發炎反應
PA10807-3130	層狀系統：廣義化緊束模型：第一原理計算：磁量子化：久保公式：隨機相位近似：松原格林函數
PA10807-3123	鉀離子通道：poisson boltzmann 模型：poisson nernst planck模型：bikerman模型：有限體積法：有限體積效應：溶解熱：born 模型
PE10807-1822	南．戈丁：攝影：敢曝：明星研究：魅力四射：扮裝皇后：女性酷兒
PA10807-3133	溶解態基礎生產力：顆粒態基礎生產力：胞外釋放百分比：異營性細菌生產力：細菌呼吸率：細菌碳需求
PF10807-4755	信用風險貼水：深度價外賣權：公司活動的宣告：隱含波動度：盈餘宣告：股票分析師的股票推薦修正：信用評級改變：融資槓桿買下宣告
PC10807-3189	腎絲球腎炎：蠟吸附動力學：傅立葉轉換紅外影像：醣基化：人工智慧
PC10807-3188	角膜：角膜傷口癒合：負壓：細胞遷移：高血糖：訊號傳遞
PF10807-4770	能力導向醫學教育：可信賴專業活動：可信賴專業活動數位學習歷程檔案
PA10807-3146	鑭系元素金屬團簇：單分子磁鐵：開環聚合反應：多核金屬錯合物
PC10807-3190	反向孟德爾隨機化法：因果關係推理：因果關係圖譜：中介全基因組關聯性研究：抑制效應：心血管代謝生物標記：全基因組定序：表觀基因組學
PB10807-6764	助聽器：噪音抑制：傅立葉轉換
PB10807-6745	超音波：腫瘤微環境：帶氧微氣泡：血管正常化：漩渦式聲鉗：超快速平面波成像
PF10807-4829	俗民方法學：對話分析：人工智能：人類智能：ai聊天機器人
PB10807-6806	二苯甲酮：sbr系統：次世代定序：胞外聚合物：水力停留時間：有機負荷量
PF10807-4823	社會投資：積極促進：失業：教育與積極勞動市場政策：混合研究方法：需求面的微觀基礎：東亞福利國家：日本：韓國與台灣
PB10807-6951	中風：智慧型手機：評估：訓練：復健
PA10807-3215	高維度資料：時間相依性：資料導向：累積預測誤差
PC10807-3345	粒線體f1單套體群：缺血性腦中風：融合細胞株：血管內皮細胞：轉殖基因鼠：粒線體不完全折疊蛋白反應
PB10807-12751	拉凡格式法：穿孔式柱狀散熱鰭片：散熱模組
PC10807-3344	急性肺部損傷：肝臟損傷：乙醯胺酚：真珠草：發炎反應：嗜中性白血球
PB10807-6660	熱解：生質物：熱解動力學：生質炭：稻稈：催化熱解
PD10807-0565	植物賀爾蒙：細胞酸化：芽鞘：快速伸長：向光性：淹水：水稻
PB10807-6662	差分隱私：隱私保護資料公佈：定期公佈：醫療資料：藥物不良反應：自發通報系統資料
PB10807-6671	褐藻醣：藥物傳送：奈米載體：血栓溶解：磁性奈米粒子
PC10807-3148	犬蛔蟲：豬肉絛蟲：囊尾幼蟲：神經性犬蛔蟲症：神經性囊尾幼蟲症：癲癇：恩史瓦帝尼
PB10807-6672	bim建物資訊模型：景觀維護：lim景觀資訊模型：擴增實境
PC10807-4200	乳癌：mtor訊息傳遞鏈：pd-l1：p2x7：化學治療抗藥性
PE10807-2320	師培課程發展：師培課程評鑑：素養導向教學：小學大學夥伴協作：核心問題：英語為外語
PA10807-3990	tdp-43：寡聚體：纖維：蛋白質堆積：晶種作用：小分子
PF10807-6017	股東積極主義：投資者異質性：代理人理論
PE10807-2341	世界經濟大恐慌：昭和恐慌：軍國主義：社會心態：台灣民眾黨：台灣農民組合：第二次世界大戰
PB10807-8649	交叉綑綁：同時綑綁：順序綑綁：供應鏈管理
PB10807-8482	陣發性心房顫動辨識：心率變異性
PF10807-6598	跨媒體新聞：跨媒體說故事：新聞敘事：新聞設計：沉浸新聞學：新聞遊戲
PB10807-8874	服務設計：傳統祭典：新興節慶：文化展演
PB10807-8875	影片風格轉換：卷積神經網路：生成對抗網路：深窄化網路：雙邊學習能力：損失函數
PB10807-8878	圓筒型結構：疲勞壽命：撞擊：水下爆震
PF10807-6559	關鍵查核事項：受查公司之審計風險：查核人員之傾向
PB10807-8879	山崩：自然災害：合成孔徑雷達：強度法：差分干涉：監測
PF10807-6580	高齡者：住宅持有：居住環境：跌倒：頻次
PE10807-2541	中國：清帝國：周邊：歷史學：新清史：官僚論述：對比研究：新軍事史：中地理論
PF10807-6581	價值創造：價值獲取：買賣關係
PB10807-8886	安定分析：溫度相依：降伏強度：彈性模數：走動式硬化：下限安定定理：上限安定定理：對偶定理：彈性安定：塑性安定：棘齒：有限元素逐步法
PB10807-8912	圖像辨識系統：faster-r-cnn：魚類新鮮度
PF10807-6543	職場不當對待：自我威脅：心理的痛：員工結果
PF10807-6574	擴增實境：行動科技：顧客意願：年齡與性別差異
PC10807-4330	肺動脈高壓：心房顫動：nlrp3：心房：細胞因子
PC10807-4331	敗血症：血管功能障礙：血管周圍脂肪組織：血管周圍脂肪組織衍生舒張因子：內皮依賴性舒張路徑：非內皮依賴性舒張路徑
PB10807-8889	河川揚塵：氣象模式：空氣品質模式模擬
PB10807-8794	電動載具：馬達驅動器：永磁同步馬達：測試平台：電子式馬達模擬器：馬達建模：控制器：功率級電路
PF10807-6433	社會保障協定：跨境勞動者：跨境勞動者之社會保障：排除雙重投保：海外投保年資之加計
PA10807-4183	連續萃取法：沉積物：有機物：解析度
PA10807-4287	可變電阻式記憶體：絲狀導通路徑：原位光譜技術：第一原理密度泛函模擬：電子結構：氧空缺
PC10807-4495	內質網蛋白：硫氧還原蛋白5：動脈粥狀硬化：血管擾流
PB10807-9419	水文風險：序率預報品質：乾旱操作：區域水資源模式
PB10807-8883	升頻轉換：磁激振：往復激振型能量擷取器：共振調幅：不同型態之轉動式能量擷取器：旋轉式壓電能量擷取
PF10807-6561	責任型領導：組織公民行為：異常行為：心理特權
PB10807-9427	療癒性環境：療癒感知：美學感知：情感評價：幸福感：療癒型社區
PB10807-9429	另類食物網絡：永續生計：鄉村發展：鄉村地區整體規劃
PB10807-9121	反應蒸餾：超重力系統：製程設計與模擬：系統操作與控制
PF10807-4489	模糊集合：質性訪談：工作滿意度：任務：創新：主管：同事：家庭
PG10711-0020	臨床試驗中心：臨床試驗：自行發起臨床試驗
PG10812-0092	客家：馬來西亞：柔佛州：河婆：客家帶
PB10801-2176	生物防護：高危險性生物致病原：表面增強拉曼散射：可攜式拉曼光譜系統
PA10802-0020	金屬導線：金屬-金屬鍵：鉗形配基：主族化學：分⼦建構單元
PA10802-0021	奈米科技：致能科技：顛覆性科技：技術成熟度：m-era.net歐盟研究計畫平台：亞洲奈米論壇(asia nano forum：anf)：國際標準組織奈米技術委員會 (iso/tc229)
PG10802-0400	便祕：腹部按摩：穴位按摩
PG10803-0013	創業家：共同供應契約：政府採購：創新採購：補助
PG10803-0229	失智症：科技3d列印：學齡期
PG10803-0232	交通事件資訊整合：人工智慧：交通事件管理
PE10804-0007	考古學：史前時期：新石器時代：丘阜型遺址：馬其頓地區：斯特魯馬河谷：希臘：巴爾幹半島：非入侵式調查：發掘計劃
PE10804-0005	動物考古：生態遺留：原史時期：族群遷徙：物種引入：量化分析：穩定同位素分析：幾何型態分析：脂質分析：科技考古
PF10807-4501	環境美學：環境美感素養：融入式課程
PC10807-3019	延遲性肌肉酸痛：肌肉氧合作用：肌肉適能：被動恢復：血管擴張
PA10807-2985	互補函數：最佳化問題：數據科學問題
PD10805-0005	淡水魟：分子標誌輔助育種：次世代定序：序列特徵化增幅區域：基因型
PF10805-0011	醫學化：經驗知識：骨盆腔檢查：婦女健康：質性研究法
PC10805-0004	綠藻：多醣：化學結構：免疫調節機制
PC10805-0033	脊椎微創手術：皮質路徑骨釘：術前模擬：骨釘導引板
PA10807-2997	衛星降水產品：遙測監測：極端降雨
PE10807-1749	原住民文學歷史小說：巴代：海平面以下：暗礁主體：地方史與世界史
PB10807-6499	雲端系統：雲端信任：服務層級協議：行為違反證明：區塊鏈：智能合約：賠償模式
PA10807-3009	酵素抑制劑：酵素固定化：快速分離：電化學分析
PC10807-3033	羰基體學：醛酮類：食用油：不飽和脂肪酸：高解析度質譜儀：混成式串聯質譜儀：連線固相萃取：dna共價鍵結物：基因鍵結體學
PB10807-6507	資料探勘：變動偵測：區間為基的時間樣式：相似度：樣式辨識
PG10804-0217	5g釋照：頻譜規劃：監理政策
PC10807-3045	無蒂鋸齒狀腺瘤：增生性息肉：石蠟包埋標本：微型核糖核酸
PC10807-3046	幼年期睡眠剝奪：牙齒發育：齒質結構：分子影像分析：褪黑激素：轉譯研究
PB10807-6503	第五代行動通訊：人工智慧：異質性網路：授權輔助存取：資源分配
PA10801-0480	光敏素與隱花色素：far-red insensitive 219 (fin219)/jasmonic acid resistant 1 (jar1)：光訊息傳遞：茉莉酸訊息傳遞：幼苗發育
PB10801-1231	镜技术：镜的光刻：扫描隧道显微镜：納米級電子器件：自旋電子器件：量子點接觸：隧道效應：磁隧道結：自旋轉移轉矩：電流洩控制：表面電子傳遞特性：運輸模式的多頻段：低維度結構：納米粒子
PB10807-6735	桿狀磷灰石結晶：氫氧基磷灰石：磷酸鈣骨泥：藥物載體：介孔生醫玻璃
PC10807-3171	t細胞：糖解作用：粒線體：抗腫瘤
PB10807-6721	糖尿病周邊神經病變：神經內血流量：聚焦超音波：大鼠
PA10807-3118	多色光：飛秒：合成波形：似噪音脈衝：雷射材料處理：雷射與材料的交互作用：活化：再結晶：超高摻雜矽：透明電極：積體電路：顯示器：光伏電池：紅外光偵測器：電漿誘發兆赫輻射
PD10807-0572	鸚鵡：喙羽：環形病毒：疫苗：佐劑
PD10807-0575	分子標記：微衛星標記：資源放流：遺傳多樣性：水產養殖
PA10807-3139	台灣淺灘：基礎生產力：基礎生產力需求量：漁業資源結構
PC10807-3210	芳香烴受體凝血酶：神經炎症：神經變性：乙型轉化生長因子
PC10807-3195	體外震波：肛門括約肌：排便失禁：糖尿病：老鼠模型
PB10807-6742	孔彈性理論：地表下水循環：biot理論：comsol
PA10807-3153	井完整性：複合計算域：多重物理：耦合：熱水力
PB10807-6799	三維數值分析：逆向方法：自然對流：矩形空腔：穿孔鰭片
PB10807-6798	物聯網：獵能電路：啟動電壓：最大功率點追蹤電路：補償器
PA10807-3151	身心衰弱：肌肉激素：外泌體：虛擬實境：多元介入
PF10807-4916	調解：和解：醫療糾紛：連帶債務：免除：債之更改：代物清償：新債清償：損害賠償
PE10807-1888	晦山戒顯：禪宗：靈驗錄：自我定位：隱喻
PE10807-1804	李心傳：建炎以來繫年要錄：建炎以來朝野雜記：金朝：歷史書寫：史料：敘事
PC10807-3146	柑桔類農藥：農民：消費者：農藥生產者：暴露風險
PF10807-4713	政府持股：公司治理：公司治理評鑑：董事會功能
PE10807-1808	被動式：非解釋性屬性：準被動式
PA10807-3987	茱利亞集合：曼德布羅特集：可和性條件
PB10807-8274	人工智慧：深度學習：神經網路：tensorflow：keras：橋梁：裂縫：流速：監測：檢測：儀器開發：影像辨識：雷射定位
PB10807-8282	創新：插管：鼻胃管：氣切管：醫療器械：長照
PC10807-4030	膠質瘤：標靶治療：粒線體代謝
PA10807-3991	全球化投資組合：條件異質滯後自我迴歸：近乎保序迴歸：網絡時間序列
PA10807-3992	p進l函數：代數cycle：岩澤理論
PF10807-6019	捐贈行為：價格彈性：捐贈扣除：臺灣
PA10807-3892	地球化學分析：貴重儀器：維護與服務
PF10807-6182	區域間主義：歐洲聯盟：東南亞國家聯盟：連通性：國際政治經濟：一帶一路：自由開放太平洋：歐洲方式：單一市場：國際安全：非傳統安全
PB10807-8880	創意產業：創業：空間分析：空間計量：聚集經濟
PB10807-8911	老人：老化：健康促進
PB10807-8887	大數據：p2p同儕架構：p2p資料分享：p2p計算：資料機密性：資料可靠度：資料正確性：容錯回復：負載平衡：公平定價：商業模式
PB10807-8891	物件導向設計：設計樣式：軟體框架：資料分析：人工智慧
PF10807-6606	科技接受模式：專利：可靠性：購買意願：科技程度與熟悉程度
PA10807-4137	選擇數：分數選擇數：k-重選擇數：k-重列表著色：著色數：分數著色數：k-重著色數：k-重著色
PB10807-8942	變異係數：雙次抽樣：管制圖
PE10807-2588	去軍事化：軍事顧問：情報合作：再武裝：軍事外交
PE10807-2589	作者：科學寫作：著作權：智慧財產
PF10807-6672	印太戰略：美國對台政策：對台軍售：台灣旅行法
PF10807-6682	網際網路：國際化：國際新創企業：新興市場
PA10807-4075	奇異積分有界性：雙權特徵
