PG10707-0063	智慧建築：推廣策略
PC10708-1105	蟹足腫：轉化生長因子-beta1：平滑肌肌動蛋白：粒腺體：糖解作用
PE10708-0470	戰後臺灣文學：省外文人：抗戰文學：東南文藝：文學場域
PG10706-0314	登革熱：核酸體外診斷試劑
PF10708-1012	價格促銷：廣闊型框架：限制型框架：解釋水平：折扣幅度：消費門檻
PC10708-1102	傷害感受型瞬態感受器陽離子通道：鈣離子訊號：老化起始因子：癌症耐受性：疼痛：代謝異常：陰電荷脂蛋白
PB10708-2126	下一代行動通訊網路：軟體定義網路：智能繞送：服務品質保證：機器學習：深度學習
PA10708-1153	二維材料：過渡金屬二硫屬化物：異質結構：掃描光電流顯微術：谷/自旋極化：電子束微影技術：拉曼光譜：光致放光
PF10708-1014	實證醫學：客觀結構式臨床技能測驗：團隊導向學習法
PD10708-0185	糖尿病：淚液：血糖：自主式微投藥系統：非侵入式生理感測器：血糖感測隱形眼鏡系統：人工胰臟
PC10708-1087	軟物質：主動軟物質：電泳：熱泳：janus粒子：dna摺紙
PB10708-2072	情緒感染理論：機器人：眾籌：網路直播
PB10708-2082	廣視域近眼顯示系統：光場式電腦全像：蜂巢狀微透鏡陣列：多視角影像拼接校正系統
PB10708-2047	新型態光譜儀：分散式光譜量測：便宜的微型光譜儀：特殊光譜儀：新穎高靈敏度散射量測方法：生醫光電光譜量測：環境檢測：非侵入式血糖量測
PF10708-0989	科普活動：偏遠學校：特偏學校：霧裡fun魔法：探究與實作課程：108學年度課綱
PB10708-2059	排程：手術室：醫生：設備：恢復室：閒置成本：超時成本：啟發式演算法：遺傳基因演算法
PA10708-1131	最佳控制：貝爾曼方程：介面燃燒方程：紊流火焰速度
PB10708-2075	關鍵字：航海人員訓練發證及航行當值標準國際公約：電腦訓練：遠距教育：船員訓練
PB10708-2061	能源服務：非能源服務：能源資通訊產業：搭售：交易成本
PE10708-0460	回應標記：話輪首位：互為主體性：投射性：話輪設計
PA10708-1132	孤立波：非局部：分叉分析：數值延拓法
PB10708-2062	盤形凸輪：共軛凸輪：轉動平衡：一體成型式配重：最佳化：實驗驗證
PB10708-2063	相移式數位全像術：單次曝光：即時處理：脈衝雷射：壓縮感知的重建演算法
PA10708-0054	爆炸：數值爆炸：爆炸速率：死核速率：有限差分法
PB10708-0530	資訊與知識來源模式：產品與服務創新：行銷創新：組織績效
PF10708-0317	品牌權益：醫療服務：跨期研究：醫療行銷
PE10708-0008	ai：第三世代：日本相關研究：日語教育：人文社會學系
PA10708-0029	條件機率模型：相容性：吉氏取樣：偽吉氏分佈
PA10708-0442	質譜學：脂質體學：磷脂質：粒線體：類花生酸：發炎
PC10708-0358	骨軟骨：仿生複合支架：3d生物列印：雙水膠混合成型：3d生物陶瓷
PE10708-0151	祖先宗教：祖先祭祀：宗教與現代化：孝道：死者的關懷
PC10708-0378	頭部創傷：腦水腫：第四類瞬時電位受體：發炎反應：血腦屏障
PB10708-0568	化學鍍：鎳硼鍍膜：槍機組
PB10708-0572	戰場網際網路：安全通訊機制：身分鑑別
PE10708-0158	近代東亞外交：日清外交：中日修好條規：日清關係：清末條約
PC10708-0571	頭頸癌：吸菸：生物標誌：癌症機制：臨床預後：舊藥新用：標靶藥物：精準醫療
PE10708-0238	體制外演出：組合嬲：草台班：美術館表演：文化生產：中國現代性：全球資本主義
PB10708-0959	光聚合固化成型：積層製造系統：上拉式：離型力
PA10708-1676	重力波：隨機重力：高維黑洞
PB10708-0964	物聯網：視覺追蹤：視覺伺服：同步定位與建圖：嵌入式系統：虛擬實境眼鏡
PF10708-0499	科學咖啡館：大學博物館：實驗型科學夏令營：工程藝文獎
PB10708-0917	免疫系統剖析：v(d)j重組：t細胞受器：多重引子放大：引子偏差：5’ race：高通量定序：序列比對
PB10708-0942	鋁合金/氧化鋁複合板：摩擦攪拌銲接：接合強度
PC10708-0603	b型肝炎病毒：免疫學：b型肝炎：預後：處置
PB10708-0923	直接氧化成長奈米線：氧化銦奈米線：氧原子自由基：真空紫外光
PF10708-0487	人工智慧系統：自動駕駛車輛：自主駕駛車輛：民事責任：商品製造人責任：德國法：美國法
PB10708-1140	太陽能電池陣列：部份遮蔽：遮蔽分散：佈線法：魔術方陣：隔行移位：機率方法
PA10708-0706	3-三嗪類：生物正交性化學：反向電子類型狄爾斯－阿德耳反應：螢光誘發探針：醣化學探子：醣化：表皮成長因子受體
PD10708-0199	石斑魚：眼球鞏膜組織間液：酵素電極感測器：雌性醇：睪固酮
PB10708-2247	變頻式：離合線圈：控制器設計：直接推力控制：混合動力汽車
PC10708-1176	頭頸癌：絲氨酸/蘇氨酸蛋白激酶：程序性死亡配體-1
PC10708-1177	骨髓肉瘤：adam8：gpr125：lgals9：小鼠動物模型
PC10708-1178	人工關節手術：人工關節感染：關節液生物標誌：骨整合
PB10708-2258	疲勞：層間性質：碳纖維/環氧樹脂複合材料：碳奈米管：石墨烯微片：雙懸臂樑法：末端缺口撓曲法：混合模式彎矩法：混合模式比：破裂韌性：脫層起始壽命：脫層成長速率
PC10708-1171	肝硬化：褪黑激素預處理之粒線體：粒線粒體功能：腺嘌呤核苷三磷酸：肝星狀細胞：核磁共振成像
PA10708-1208	關鍵詞： 鉑金屬錯合物：螢光：催化：含氟鉑金屬錯合物：抗癌藥物：鈣鈦礦太陽能電池：溫敏感：再生能源：永續能源：可回收的：氫矽化反應
PC10708-1172	失智症：tau 蛋白：阿茲海默氏症：額顳葉失智症：18f-florbetapir正子掃描：18f -thk-5351 正子掃描
PC10708-1173	文字探勘：電子病歷：驗證研究
PB10708-2253	自我摻雜：心肌梗塞：導電性水膠：心肌細胞：心律不整
PC10708-1180	腹膜透析：腹膜纖維化：單核球/巨噬細胞：纖維細胞：腹膜間皮細胞：腹膜間皮下纖維母細胞
PB10708-2269	光導管：光學不變量：trp dmd：全反射稜鏡：遠心鏡頭：折反射式超短焦
PB10708-2270	封閉式泡沫材料：受壓力學響應：變型演進：電腦斷層掃描：幾何特徵：數值模擬：laguerre鑲嵌
PE10708-0496	增強詞：反身詞：無因結構：內在導因者：導因：內部窮盡運作
PC10708-1175	重度憂鬱症：雙極性疾患：全民健康保險資料庫：資料探勘：關聯規則：分類與迴歸樹法
PB10708-2260	綠色城市工廠：碳足跡：水足跡
PF10708-1063	系統性思考：氣候變遷：科學教育：環境教育
PE10708-0491	雍正皇帝：乾隆皇帝：八旗制度：八旗米局：旗人：生計問題
PD10708-0195	類黃酮：磷酸化：生物轉換：枯草桿菌：發酵製程：同源模擬法：定點突變：類黃酮磷酸酯合成酶
PF10708-1054	法院專業化：商事法院：勞動法院：紛爭類型審理：職業法官：專家參與審判：榮譽法官：參審法官：專家證人：專門委員：專家諮詢：技術審查官：鑑定：裁判外紛爭處理：勞動調解：仲裁：比較法：機能性研究方法
PB10708-2208	無人飛機系統：數值地形模型：大規模崩塌：河道變遷：土砂運移：數值模擬
PB10708-2207	潔淨室：晶圓盒：潔淨度：環境控制
PE10708-0492	時貌：時態：肯定預期：語氣：分裂句：台灣閩南語
PB10708-2218	矽基液晶微型面板：快速應答速度：紫外光波長：相位調變：高幀率
PB10708-2230	交易型社群：erp：效益：限制：顧客服務能力(第一年)關係型社群：知識探索：知識應用：社會資本：使用動機：社會動機 (第二年)
PB10708-2233	導柱延伸量：射出成型機：肘節式鎖模機構：射出切換保壓時機控制
PE10708-0490	推測設計：可能世界理論：思想實驗：多重宇宙：平行世界：異形現象學
PA10708-1196	二維系統：高溫超導體：介面：薄膜：量子物質
PA10708-1203	高維度資料：k均值分群法：潛在類別變數模型：基因表現量：交通流量預測：變數選擇
PC10708-1157	子宮內膜癌：去氧核醣核酸聚合酶epsilon：分子檢驗：輔助治療
PB10708-2123	能量限制：即時排程：可規劃計算：非矩形：配置
PF10708-1026	社經地位：健康：經濟景氣：台灣
PA10708-1156	降尺度：地形特徵：低雲：水文
PB10708-2116	可撓式：非晶氧化物半導體：ingazno：inzno：znsno：inznsno：薄膜電晶體：鈦酸鋯鉛薄膜：pr2o3：er2o3：yb2o3：prtixoy：ertixoy：ybtixoy
PC10708-1108	偏頭痛：微核糖核酸：次世代定序：腦連結體：功能性磁振造影
PE10708-0471	電腦輔助溝通：禮物交換：(不)禮貌：直播：線上互動
PB10708-2117	雲端運算：存取控制：雲端分享：教育雲：資訊安全
PC10708-1099	誘導式多能性幹細胞：致心律失常性右室心肌病：代謝體學：飛行時間-質譜
PF10708-0995	資料包絡分析：經濟效率：不完全競爭：市場效率：航空公司
PB10708-2071	氧氣還原反應：金屬氧化物觸媒：非貴金屬觸媒：高穩定性：鹼性：摻雜二氧化鈦
PB10708-2081	共軛高分子：光激發態：單重態電子受激態：三重態電子受激態：高分子組態：高分子堆積：高分子應力：電子-聲子作用：超快時間解析螢光光譜：激子束縛能：電致發光元件：光伏元件
PC10708-1089	睡眠呼吸障礙：阻塞性睡眠呼吸中止症：兒童：腺樣體扁桃體切除手術：頭頸部超音波：剪力彈性超音波：頸動脈超音波：頸動脈內膜中層厚度：血壓：心血管疾病風險：代謝症候群：肥胖：生物標記
PA10708-1128	唾液酸結合免疫球蛋白凝集素：可溶性醣基化終末產物受體：生物探針篩選：多探針
PF10708-0991	專利權：專利法：進步性：舉發撤銷：技藝人士：發明所屬技術領域中具有通常知識者
PB10708-2090	網絡實體系統：大數據：故障預測：數位控制銑床：工業4.0
PB10708-2091	超高解析度光學顯微鏡：熱管理：半導體元件物理：高功率發光二極體：發光電化學元件
PE10708-0465	數據驅動學習：文體式教學法：學術英語：英語寫作
PF10708-1001	群體效能：群體謙虛：社會互動：責任式領導
PE10708-0462	五四事件：文學再現：周瘦鵑：包天笑：姚鵷雛：冰心：李涵秋
PC10708-1091	癲癇重積症：穿顱直流電刺激：癲癇腦波：大腦神經滋養因子：抑制癲癇發作
PA10708-1133	指數型證券投資信託基金：人工智慧：追蹤控制方法
PB10708-2064	透明：可橈：類神經網路應用：電阻式記憶體：選擇器
PB10708-2065	高頻呼吸器：電阻式成像系統：感測器介面電路：壓縮感知
PF10708-0992	物理科學：人工智能：生命科學：吳大猷科學營：吳大猷基金會
PB10708-2053	乾旱：地下水：訊號模式：影響評估：應變策略
PD10708-0184	轉譯農學：甘藍：淹水耐受性：轉錄體學：代謝體學
PB10708-2089	表面電漿共振：微型核糖核酸：光纖通訊波長：空間相位
PB10708-0076	二維材料：合成：表面科學
PB10708-0538	可變結構控制器：可變結構觀測器：不變性質：通用反矩陣原理：強烈集總非線性擾動：多輸入多輸出不確定系統
PC10708-0366	非結核分支桿菌：抗藥機制：新型抗結核藥物
PC10708-0368	非酒精性脂肪肝病(nafld)：非酒精性肝炎(nash)：胰島素抗性：介入性治療：減重：pparγ致效劑 (pioglitazone)：sox5：genea
PD10708-0053	茶葉香氣：兒茶素：茶黃素：糖尿病：進階糖化終產物：甲基乙二醛
PB10708-0562	非揮發性隨機存取記憶體：作業系統：記憶體管理：檔案系統
PC10708-0377	心臟麻痺液：第一型瞬時受體電位錨蛋白通道：第一型瞬時受體電位香草素通道：缺血重灌流損傷：心臟保護：促活訊息路徑
PB10708-0565	近岸淺海聲學：港區聲學：傳播：散射：混響
PB10708-0574	淺水方程式：無網格：乾濕交界線：局部多項式近似：加權最小二乘法
PB10708-0577	無人飛行載具：坡地果樹：病蟲害防治：精準農業
PB10708-0578	認知處理：eeg：專注度：風險：正面／負面情緒：前額葉不對稱：跨境電商
PB10708-0597	巡邏之機器人：即時定位與地圖構建：機器人作業系統：無線射頻識別系統：輪型機器人
PB10708-0598	混合式：旋轉發電機：微機電系統
PB10708-0866	分子拓印：光子晶體：四環黴素：刮刀塗佈技術：布拉格繞射
PE10708-0219	西王母：神話敘事：神話象徵
PB10708-0984	深度學習：卷積神經網路：階層式：字元辨識：分類
PB10708-0985	拍翼機：拍翼：微飛行器：流固耦合：旋轉升力：皂膜流場顯像：撓性翼：高分子微機電技術
PA10708-0650	不合格率：廣義樞紐量：學生氏 t 檢定：變方成份
PC10708-0622	關鍵字: 惡性腦瘤：tec酪氨酸激酶家族：癌幹細胞：腦瘤抗藥機制
PA10708-0654	海研三號：貴重儀器使用中心：儀器設備：探測數據品質：探測任務
PE10708-0240	自他動詞：形態：語意：基本動詞手冊：語料庫
PF10708-0502	凝視關聯功能性磁振造影：自然閱讀：雙語閱讀：第二語言經驗
PA10708-0630	固定化金屬親和吸附材：蛋白質純化：酵素固定化：雙官能基
PC10708-0607	外質體：調節t 細胞：免疫代謝：胃癌：淋巴轉移
PB10708-0919	透明導體：金屬氧化物：光學特性：光電元件應用：有機發光元件
PF10708-0484	延畢生：高等教育：存活分析：校務研究
PF10708-0488	虛擬環境：綠色運動：注意力恢復理論：眼球追蹤分析：腦電圖：自行車
PA10708-0639	切分點：aic：相對風險：p-value校正：基因演算法：交叉驗證
PA10708-1212	台灣造山帶：前緣增積：多孔隙岩石：變形條帶：新構造運動：構造地形
PA10708-1215	颱風：數值氣候模式：風速：機器學習：巨量資料
PB10708-2268	多孔隙金屬：溶解與燒結製程：鎂合金：製程參數：機械性質
PB10708-2278	5g：lte-a pro：物聯網：機器通訊：nb-iot：巨量連結：服務品質：異構網路：節能：資源管理：功率配置：無線網路：重傳次數：子載波：廣播
PF10708-1079	工作設計：工作雕塑：職場安全：安全行為：睡眠剝奪
PE10708-0497	《玻璃動物園》：《英雄和聖人》：《剝除》：失能女性：女性主義失能研究
PA10708-1216	壽命延長：訊息傳遞：神經迴路：蕈狀體：果蠅
PA10708-1192	向列型液晶：液晶複雜系統：集水：水凝結：液晶模態：多穩態：相位調製：液晶透鏡與消色散相位調製
PB10708-2231	微氣泡：直接接觸散熱：一體式空調機：空調能源效率
PB10708-2220	分佈式逕流演算模式：零慣性波演算：運動波演算：曼寧糙度：洪峰消減
PA10708-1197	測高儀：水深：重力：南海：swot
PB10708-2210	測量車：光達點雲：深度學習：交通標誌.
PA10708-1204	仿生：光催化劑：釕金屬：氫簇分子：氫氣：太陽能
PC10708-1159	攝護腺癌：攝護腺腫瘤：malt1：腫瘤增生：炎化
PB10708-2211	深度增強式學習：多軸無人機：自動駕駛：避障：定位：導航
PF10708-1059	商務仲裁機構規則：投資條約：「投資人與國家」爭端解決：投資仲裁：緊急仲裁人程序：暫時救濟措施：最惠國待遇
PC10708-1160	imiquimod：後天抗性：皮膚腫瘤：溶酶體：tfeb
PB10708-2200	儲位指派問題：二次指派問題：非線性整數規劃：全域最佳化
PF10708-1056	舒茲：現象學教育學：存在批判教育學
PB10708-2212	時空資料：機器學習：資料探勘：淹水預測
PB10708-2237	分子間作用位能：分子力場：動力學模擬：生化官能基：位能資料庫
PC10708-1166	eb病毒：基因感受性：鼻咽癌：多發性家族
PA10708-1199	海草床：東沙環礁：二氧化碳：海洋酸化
PC10708-1161	過敏原致敏性：氣喘：兒童：微生物菌叢：代謝質體學.
PB10708-2201	擁擠場景分析：時空深度學習網路：卷積神經網路：遞歸神經網路
PC10708-1153	放射線引發之旁伴效應：外泌體：微核糖核酸：肝再生
PC10708-1154	男性荷爾蒙受體：蛋白聚集體：麩醯胺：泛素化：甘迺迪氏症
PB10708-2100	深度學習：卷積類神經網路：隨機決策森林：階層分類
PB10708-2101	永續都市：都市代謝：物質流之源與匯：生態效率：資源生產力：「從搖籃到搖籃」：三重底線：聯合國永續發展目標
PE10708-0474	泰勒：生命中心主義：天賦價值：種際公正：環境倫理
PB10708-2109	自我揭露：推敲可能性模型：解釋水平理論：感知價值：機構信任：認知吸收性：先前隱私入侵
PC10708-1109	cisd2：wolfram syndrome 2：胰島素依賴型糖尿病：beta細胞：胰臟老化：胰臟特異性cisd2基因剔除小鼠：cisd2基因轉殖小鼠
PF10708-1018	認知取向：幾何：數位學習教材：數位診斷評量系統：補救教學：國小學生
PB10708-2120	生物網路：網路分析：動態模型：細胞狀態：超級增強子：增強子核糖核酸
PA10708-1136	非富勒烯受體：微結構分析：能量轉移：非富勒烯三元混摻太陽電池：串聯式太陽電池
PE10708-0458	棒球：公眾歷史：歷史記憶：國族認同
PF10708-0996	層次分析法：即時學習回饋：物聯網：生理訊號分析
PA10708-1130	tau 蛋白：跨神經間隙滲透：粒線體：氧化壓力：lrrk2蛋白：外吐囊泡：自噬作用：果蠅模式
PB10708-2049	自動光學檢測：薄膜電晶體液晶面板：壞點瑕疵：機器學習：整體學習：多元分類：智慧製造
PB10708-2060	表面形貌量測：moiré干涉術：快速fourier轉換分析：外差移頻技術：最小平方弦波擬合法
PB10708-2050	演算法：生物資訊：基因體：序列片段：支架：定序與定向
PA10708-1140	大氣沉降：營養鹽：基礎生產率：高分子量有機營養鹽：低分子量有機營養鹽
PA10708-1141	地表水與地下水交互作用：熱能示蹤劑：鹽水示蹤劑試驗：分散式光纖溫度感測器：數值模擬
PB10708-2092	磷酸鋰鈷：磷酸鋰鎳：鋰離子電池：石墨烯：陰極材料：比電容：充放電
PB10708-2076	硫氰酸亞銅：摻鋁之氧化鋅：快響應：自供電：深紫外光：光偵測器
PF10708-0997	親社會行為：推力：田野實驗：實驗室實驗
PB10708-2077	鋰離子電池：多孔性材料：電極力學：微連續混和體
PB10708-2066	智慧型變電所：監控系統：狀態維護策略：模糊綜合評價法：層級分析法：熵值賦權法
PA10708-1120	甲殼類：分類：生物多樣性：海洋：臺灣：東南亞：印度
PB10708-2055	超穎材料：高折射率介電質：超穎介面：光波導：矽光子
PF10708-0993	心智老化：社會認知：心智理論：大腦與認知：功能性磁振造影：擴散張量造影：事件相關電位
PG10710-0006	抗精神病長效針劑：居家訪視
PB10708-2093	完全子圖：回朔演算法：分支與限制演算法：gpu計算
PB10708-2094	坡地調查：坡地監測：震測：表面波：單站頻譜比法：周遭噪訊監測
PB10708-2068	清華開放水池式反應器：中子：碳化矽功率元件：輻射效應：總游離劑量：單粒子燒毀
PB10708-0092	人工尿液：燃料電池挹電：超音波噴塗：無線傳輸偵測系統
PB10708-0545	氬氣循環燃燒：邊緣火焰：三歧火焰：層狀非預混火焰：零nox排放：純氧燃燒：多孔介質燃燒：碳捕捉
PB10708-0519	玻璃：墨水：玻璃軟化溫度：化學耐久性
PF10708-0321	金融科技：區塊鍊：保險科技：保險監理：個人資料：隱私權
PA10708-0456	液晶薄膜：超穎材料：電磁共振：兆赫波濾波器
PF10708-0340	論質計酬方案：糖尿病：外溢效果
PB10708-0548	鋁材擠壓成形：網格重建：有限元素分析：非穩態成形過程
PB10708-0551	n元語法語言模型：雜湊方法：基因演算法：二進制編碼：數學集
PA10708-0452	灰色決策分析：主成分分析：灰關聯預測：生烴潛能：rock-eval熱裂分析
PB10708-0602	智慧生活：影像偵測：影像辨識：立體視覺：清潔載具
PA10708-0481	非線性光學晶體：二階協頻產生：密度泛函理論：隨機結構搜尋
PB10708-0848	光訊號傳輸：光積電技術：鍺/錫單晶薄膜：快速熱熔異質磊晶成長：微區拉曼光譜：光偵測器：元件高頻特性.
PB10708-0992	粒子群演算法：萬用土壤流失公式：空間分析
PA10708-0659	盤狀液晶：光伏太陽能電池：本體異質結太陽能電池：孔洞和電子分離盤：雙極
PA10708-0646	稀鐵磁性半導體：氮化物半導體：非揮發性控制：鐵電氧化物：載子媒介鐵磁性：調制摻雜：錳摻雜：二維電子/洞氣體：奈米結構：自旋電子元件：分子束磊晶
PB10708-0988	功能梯度材料：複合樑：rzt理論：振動分析
PC10708-0599	憂鬱症：阿茲海默氏症：多巴胺轉運蛋白：app/ps1基因轉殖鼠
PD10708-0091	溶鉀菌：微生物肥料：根圈
PA10708-0642	光子量子資訊處理：量子計算：量子通訊：量子關聯特性
PF10708-0480	公司治理：所有權結構：董事會組成：ceo特性：公司績效
PF10708-0489	科學史：物理學：漫畫
PE10708-0231	章潢：周易象義：讀易雜記：圖書編：明代易學
PE10708-0234	唐代：巡幸：鹵簿：南衙禁衛軍：大唐開元禮
PA10708-0636	全球暖化：氣候變遷：底棲物種：亞熱帶：蝦拖網漁業：向北擴張
PE10708-0236	高齡者：期望意象：材質元素：實務設計
PC10708-0600	早產兒：低體溫：低血氧：罹病率：體重成長率：神經發展結果
PA10708-0629	量子隨機步行：隨機方程：量子糾纏：pt-對稱性的狄拉克方程
PA10708-1206	半導體：天然永續性材料：複合材料：多功能性：發光元件：雷射：光偵測器：太陽電池：電晶體
PB10708-2214	電子斑點干涉術：溫度：電極：共振頻率：模態：壓電陶瓷板：壓電薄膜：壓電雙晶：壓電纖維複材
PC10708-1167	造血幹細胞移植：人類白血球組織抗原：單核苷酸基因多型性：移植物對抗宿主疾病
PC10708-1168	免疫檢查點抑制劑：肝癌：腫瘤微環境：腫瘤反應率：免疫組成
PA10708-1684	大型強子對撞型加速器：緊湊渺子線圈：頂夸克：新物理：中性流：稀有衰變
PB10708-2223	碳量子點：大氣常壓電漿：合成：拉曼光譜：光致發光光譜
PC10708-1165	唾液腺：幹細胞：口乾症：自發分化：細胞治療
PB10708-2239	360度全景影像：擴增實境與虛擬實境：混合實境：人工智慧：互動系統
PB10708-2240	無鈷的陰極材料：srfeo3：導電性：固態氧化物燃料電池
PA10708-1200	古海洋學：古氣候學：太平洋：晚第四紀
PF10708-1057	創新新藥：藥品價值：藥品使用量：療效競爭：學名競爭：經濟效益評估：全民健康保險資料庫
PC10708-1163	牙根尖幹細胞：第四型骨形成蛋白：細胞外基質：纖維蛋白溶酶原活化系統：細胞分化：訊息傳導：整聯蛋白
PB10708-2224	流體致振：壓電能量擷取系統：流固耦合分析：壓電纖維：壓電陶瓷：三維流場垂直式風機：邊界條件：降低共振頻率：電子斑點干涉術：聲固耦合振動分析
PB10708-2225	記憶體感知：協同排程：電源管理：資源管理：異質多核心：可重組態架構
PE10708-0493	漢語雙及物構式：雙賓句式：介賓句式：構式語法：構式語義：頻率
PB10708-2202	近斷層地震：速度脈衝：群樁基礎：基礎裸露橋梁：反復載重試驗：振動台試驗：群樁效應：土壤結構互制
PA10708-1178	島弧火山：蘇門答臘：岩石地球化學：鋯石鈾鉛年代學：巽他島弧
PB10708-2194	電紡織：金屬超分子高分子：光驅動電致色變元件：高分子電解質：四甲基哌啶氧化物
PB10708-2176	指派問題：群體智慧：群組服務：最佳化：利益等級一致
PD10708-0189	腸炎弧菌：磷脂醯絲胺酸脫羧酶：磷脂醯乙醇胺：cpx雙組成系統
PC10708-1155	智慧型手機視訊方案：護理之家：失智住民：家屬：健康
PE10708-0486	民國詩話：新文化運動：新文學運動：文學論爭
PB10708-2171	超級電容：多孔矽：化學氣相沉積：石墨烯：固態電解質
PA10708-1179	竹嵌紋病毒：葉綠體蛋白質：鐵氧-nadp+氧化還原酶：去氧木酮糖磷酸還原異構酶：病毒複製機制
PC10708-1145	異體複合移植：水膠：免疫抑制劑
PF10708-1010	醫學人文：課綱：授課教師：醫學受訓者：質性研究：臨床訓練
PE10708-0469	翻譯記憶：電腦輔助翻譯：翻譯科技：機器翻譯：可比語料庫
PC10708-1106	化療藥物抗性：放射治療抗性：胃癌
PE10708-0467	蒲松齡：《聊齋誌異》：多元文化語境：複調：幻跡異類
PA10708-1151	無人飛機探空：投落送：滑翔機
PF10708-1028	公司治理：私募股權基金：治理架構：證券投資信託基金：投信事業：利益衝突：證券管理機構組織
PB10708-2127	氮化鋁鎵/氮化鎵壓變電容器：電磁脈衝：突波保護：可靠度
PC10708-1110	prostasin/prss8：口腔癌
PB10708-2119	b型肝炎：選擇性毒殺：合成致死：標靶基因鑑別：生醫數據分析：資料探勘
PB10708-2045	共享經濟：社群網路：社群推薦：服務媒合：機制設計：推薦系統
PB10708-2096	積層製造：智慧製造：光固化樹脂：模糊拉拔控制：自適應性切層：灰階式光罩：模糊類神經網路
PB10708-2057	非晶碳膜：銅奈米線：濕潤：擴散：成核：分子動力學模擬
PF10708-0999	跨領域學位：多樣性經驗：跨領域教育：跨領域整合核心能力：校務研究
PB10708-2074	預後：腦中風：頭部外傷：邏輯斯迴歸：資料探勘
PF10708-0990	網路霸凌：同理心：旁觀者介入：數位教材設計：活動理論模型
PB10708-2084	效果量：檢定力：精確度：樣本數
PB10708-2086	矽奈米電子元件：焦耳熱：選擇性原子層沉積：矽蕭特基奈米二極體
PB10708-2087	氣候變遷：地層下陷：孔彈性壓密理論
PE10708-0459	沈寵綏：《度曲須知》：崑山水磨調：反切：三字切法：出字：收音
PA10708-1142	撓曲：前陸盆地：濱海斷裂帶：海底地震儀：p波速度構造
PB10708-2051	人工紋理：立體匹配：連結紋理：三維重建
PC10708-1086	經皮致敏：微生物群：短鏈脂肪酸：皮膚免疫細胞
PB10708-2052	量子點：微型發光二極體：透明顯示器：玻璃基板：擴增實境
PB10708-2054	飛秒光譜學：綠能材料：光催化作用：水裂解：氫氣/氧氣產生
PB10708-2085	機器學習：深度學習：神經網路：低功率系統：多核心系統晶片：可重組式異質系統
PA10708-1138	鰻類魚群：群游：不可壓縮流navier-stokes 方程組：七鰓鰻：同步現象
PA10708-1139	熱電現象：石墨烯：二維材料：過渡金屬二硫族化合物
PA10708-1134	發泡現象：平均場方程：拓樸度數：模空間
PB10708-2067	透明導電膜：超薄金屬薄膜：高功率脈衝磁控濺鍍
PB10708-2078	氣候變遷：颱風暴潮：風險與不確定性分析：颱風因子：氣旋物理模型：非靜水壓動力模式：人工智慧方法
PA10708-1121	分子骨架：多價性：醣-蛋白質作用：配體-受體作用
PB10708-2079	熱浸鍍鋁化處理：固態滲透鋁化處理：電漿熔射鋁化處理：金屬玻璃鍍層處理：超超臨界鍋爐：高溫腐蝕：應力負載：異質銲接件
PF10708-1000	領導者謙卑：團隊主動發聲：團隊離職傾向：團隊程序正義：交叉延宕分析
PE10708-0464	專業課程英語授課：學術英文：路標語：授課語言：語言策略：高等教育
PA10708-1122	海洋基礎生產力：臺灣四周海域：全球變遷：潛在漁業資源：海洋水色
PB10708-2069	光固化3d列印：陶瓷製程：多孔材料性質：拓樸最佳化：非線性參數模型
PA10708-0044	癌症相關醣類抗原：衍生物：疫苗：均相化抗體
PE10708-0145	同步口譯：斷句策略：言談主題：口譯教學
PA10708-0441	中南半島：印支運動：變質作用：定年學
PC10708-0350	頑固性高血壓：醛固酮：高血壓：年輕型：基因多型性：廣泛性基因研究：監測因子
PE10708-0156	瞳孔放大：瞳孔指標：認知負荷：眼球追蹤儀：德文：翻譯：多義詞：自陳困難量表：項目分析.
PA10708-0465	拓樸性物質：手徵異常：外耳半金屬
PF10708-0344	東南亞移工：影像培力：自我敘事：反再現
PF10708-0345	思覺失調症：認知功能訓練：雙重任務訓練：有氧運動：手機應用軟體
PB10708-0557	calphad modeling：molecular dynamics modeling：photovoltaic material.
PB10708-0558	氧化石墨烯：金屬氧化物：鈍化：太陽電池：光偵測器：光觸媒
PC10708-0135	體顯性多囊腎：人類誘導型多潛能幹細胞：等基因控制幹细胞株：致病機轉
PG10706-0031	十二年國教：課程轉化：數學領綱：數學教育哲學
PG10706-0051	網路影音平台ott(over-the-top)：收視衡量機制：分潤模式
PG10706-0038	礦業法：回饋：企業社會責任
PG10705-0131	犯罪被害人保護政策：訴訟活動：網絡服務：經濟安全：身心回復：風險需求回應性：民主與參與式犯罪被害人服務原則：犯罪被害人保護服務
PG10705-0060	自主學習：數位學習：課程
PG10706-0014	磊晶膜轉移技術：iii-v族太陽電池：分解水產氫
PG10705-0164	鄰苯二甲酸(2-乙基己基)
PG10706-0086	新南向：智庫交流：產業合作
PG10706-0329	數位服務：行動加值服務
PG10705-0057	十二年國民基本教育：科學素養：標準設定：核心素養
PG10705-0085	活躍老化：決策支援：資料倉儲
PG10707-0110	原發性皮質醛酮症：心肌纖維化
PC10708-0332	慢性腎臟病：骨質疏鬆：腎性骨病變：腸道菌叢：胺基酸代謝體：短鏈脂肪酸：造骨細胞：蝕骨細胞：芳香烴受體
PG10708-0003	pm2.5懸浮微粒：氧化壓力：松杉靈芝
